filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
2-10_phaseVariation,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,1
5-10_phaseVariation,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
AirplaneLD-pt-0010,pnml,chain-prev,sat-like,1,chain,sat-loop,20
AirplaneLD-pt-0020,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0050,pnml,chain-prev,sat-like,1,chain,sat-loop,80
AirplaneLD-pt-0100,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0200,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,40
AirplaneLD-pt-0500,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
AirplaneLD-pt-1000,pnml,chain-prev,sat-like,1,bfs-prev,sat-loop,40
angiogenesis-01,pnml,chain-prev,sat-like,1,chain,sat-loop,20
angiogenesis-05,pnml,chain-prev,sat-like,1,chain,sat-like,5
angiogenesis-10,pnml,chain-prev,sat-like,1,chain,sat-like,5
angiogenesis-15,pnml,chain-prev,sat-like,1,chain,sat-like,5
bopdp.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cambridge.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
cambridge.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
cambridge.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cambridge.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
cambridge.7,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,20
circadian_clock-000001,pnml,chain-prev,sat-like,1,chain,sat-like,1
circadian_clock-000010,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
circadian_clock-000100,pnml,chain-prev,sat-like,1,chain,sat-loop,10
