filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
2-10_phaseVariation,pnml,chain-prev,sat-loop,2147483647,chain-prev,sat-loop,1
2D8_gradient_10x10_10,pnml,bfs-prev,sat-like,1,chain,sat-like,1
2D8_gradient_10x10_50,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,1
2D8_gradient_20x20_10,pnml,bfs-prev,sat-like,1,chain,sat-like,5
2D8_gradient_30x30_10,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
2D8_gradient_40x40_10,pnml,chain-prev,sat-like,1,chain-prev,sat-like,20
2D8_gradient_5x5_10,pnml,chain-prev,sat-like,1,chain,sat-like,1
2D8_gradient_5x5_100,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
2D8_gradient_5x5_150,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
2D8_gradient_5x5_200,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
2D8_gradient_5x5_50,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
5-10_phaseVariation,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,1
afcs_01_a,pnml,chain-prev,sat-like,2147483647,chain,sat-loop,10
afcs_01_b,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_02_a,pnml,bfs-prev,sat-like,1,chain,sat-like,1
afcs_02_b,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,5
afcs_03_a,pnml,bfs-prev,sat-like,1,chain,sat-like,5
afcs_03_b,pnml,chain-prev,sat-loop,2147483647,chain-prev,sat-like,5
afcs_04_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_05_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_06_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_12_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
afcs_24_a,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,1
AirplaneLD-pt-0010,pnml,bfs-prev,sat-like,1,chain,sat-loop,20
AirplaneLD-pt-0020,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0050,pnml,bfs-prev,sat-like,1,chain,sat-loop,80
AirplaneLD-pt-0100,pnml,bfs-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0200,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,40
AirplaneLD-pt-0500,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
AirplaneLD-pt-1000,pnml,chain-prev,sat-like,1,bfs-prev,sat-loop,40
angiogenesis-01,pnml,bfs-prev,sat-loop,1,chain,sat-loop,20
angiogenesis-05,pnml,bfs-prev,sat-loop,1,chain,sat-like,5
angiogenesis-10,pnml,bfs-prev,sat-loop,1,chain,sat-like,5
angiogenesis-15,pnml,bfs-prev,sat-loop,1,chain,sat-like,5
BridgeAndVehicles-V04-P05-N02-unfolded,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,1
BridgeAndVehicles-V10-P10-N10-unfolded,pnml,bfs-prev,sat-like,1,bfs-prev,sat-like,5
BridgeAndVehicles-V20-P10-N10-unfolded,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,5
BridgeAndVehicles-V20-P20-N10-unfolded,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,5
circadian_clock-000001,pnml,chain,sat-like,1,chain,sat-like,1
circadian_clock-000010,pnml,chain,sat-like,1,chain-prev,sat-like,1
circadian_clock-000100,pnml,chain,sat-like,1,chain,sat-loop,10
CircularTrain-012,pnml,chain-prev,sat-like,1,chain,sat-like,10
CircularTrain-024,pnml,chain-prev,sat-like,1,chain,sat-like,10
CircularTrain-048,pnml,chain-prev,sat-like,1,chain,sat-like,5
CircularTrain-096,pnml,chain-prev,sat-like,1,chain,sat-like,5
CircularTrain-192,pnml,bfs-prev,sat-like,1,chain,sat-like,5
closed_system1,pnml,chain-prev,sat-like,2147483647,chain-prev,sat-like,5
closed_system2,pnml,chain-prev,sat-like,2147483647,chain-prev,sat-like,5
closed_system3,pnml,chain-prev,sat-like,2147483647,chain-prev,sat-like,5
closed_system4,pnml,chain-prev,sat-like,2147483647,chain-prev,sat-like,5
closed_system5,pnml,chain-prev,sat-like,2147483647,chain-prev,sat-like,10
cs_repetitions-2-unfolded,pnml,bfs-prev,sat-like,1,chain,sat-loop,20
cs_repetitions-3-unfolded,pnml,chain-prev,sat-like,1,chain,sat-like,10
cs_repetitions-4-unfolded,pnml,chain-prev,sat-like,5,chain,sat-like,20
database2UNFOLD,pnml,chain-prev,sat-like,1,chain,sat-like,5
database4UNFOLD,pnml,chain-prev,sat-like,2147483647,bfs,sat-like,5
dekker-10,pnml,chain-prev,sat-like,5,chain-prev,sat-like,5
dekker-15,pnml,bfs-prev,sat-like,1,chain-prev,sat-like,10
deploy_2_a,pnml,chain-prev,sat-like,1,chain,sat-loop,5
deploy_3_a,pnml,bfs-prev,sat-like,1,chain-prev,sat-loop,40
deploy_4_a,pnml,bfs-prev,sat-like,1,chain,sat-loop,5
deploy_5_a,pnml,bfs-prev,sat-like,1,chain,sat-loop,20
deploy_6_a,pnml,chain-prev,sat-like,1,chain,sat-loop,1
deploy_7_a,pnml,chain-prev,sat-like,1,chain,sat-like,80
des_00_a,pnml,chain-prev,sat-like,1,chain,sat-like,10
des_01_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
des_02_a,pnml,chain-prev,sat-like,1,chain,sat-like,40
distributeur-01-unfolded-02,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
dlcsh_2_a,pnml,bfs-prev,sat-like,1,chain-prev,sat-loop,80
dnawalk-01,pnml,bfs-prev,sat-like,1,bfs-prev,sat-loop,2147483647
dnawalk-02,pnml,bfs-prev,sat-like,1,chain,sat-loop,1
dnawalk-03,pnml,bfs-prev,sat-loop,2147483647,chain,none,
dnawalk-04,pnml,chain-prev,sat-like,1,bfs-prev,sat-loop,20
dnawalk-05,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,10
dnawalk-06,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,10
dnawalk-07,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,10
dnawalk-08,pnml,chain-prev,sat-like,5,chain-prev,sat-like,5
dnawalk-09,pnml,chain-prev,sat-like,5,chain-prev,sat-like,1
dnawalk-10,pnml,chain-prev,sat-like,1,chain,sat-like,5
dnawalk-11,pnml,chain-prev,sat-like,5,chain,sat-like,5
dnawalk-12,pnml,chain-prev,sat-like,1,chain,sat-loop,20
dnawalk-13,pnml,chain-prev,sat-like,5,bfs-prev,sat-like,20
dnawalk-14,pnml,chain-prev,sat-like,1,bfs-prev,sat-loop,20
dnawalk-15,pnml,chain-prev,sat-like,1,chain,sat-like,20
erk-000001,pnml,chain-prev,sat-like,1,bfs,sat-like,1
erk-000010,pnml,chain-prev,sat-like,1,bfs,sat-loop,1
erk-000100,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
FMS-10,pnml,chain-prev,sat-like,1,chain,sat-like,1
FMS-100,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
FMS-2,pnml,chain-prev,sat-like,1,chain,none,
FMS-20,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
