filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
2-10_phaseVariation,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,1
5-10_phaseVariation,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
adding.1,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,2147483647
adding.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,2147483647
adding.3,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,2147483647
adding.4,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,2147483647
adding.5,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,2147483647
adding.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,1
afcs_01_a,pnml,chain-prev,sat-like,1,chain,sat-loop,10
afcs_01_b,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_02_a,pnml,chain-prev,sat-like,1,chain,sat-like,1
afcs_02_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
afcs_03_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_03_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
afcs_04_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_05_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_06_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_12_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
afcs_24_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cambridge.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
cambridge.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
cambridge.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
