filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
2-10_phaseVariation,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,1
5-10_phaseVariation,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
afcs_01_a,pnml,chain-prev,sat-like,1,chain,sat-loop,10
afcs_01_b,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_02_a,pnml,chain-prev,sat-like,1,chain,sat-like,1
afcs_02_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
afcs_03_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_03_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
afcs_04_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_05_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_06_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_12_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
afcs_24_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
anderson.1,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,5
anderson.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
anderson.3,dve2C,chain-prev,sat-like,1,bfs-prev,none,
anderson.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
anderson.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
anderson.8,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
blocks.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,2147483647
blocks.3,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,5
BridgeAndVehicles-V04-P05-N02-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
BridgeAndVehicles-V10-P10-N10-unfolded,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,5
BridgeAndVehicles-V20-P10-N10-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
BridgeAndVehicles-V20-P20-N10-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
deploy_2_a,pnml,chain-prev,sat-like,1,chain,sat-loop,5
