"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"2D8_gradient_10x10_10","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain","sat-like",1
"2D8_gradient_10x10_50","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain-prev","sat-like",1
"2D8_gradient_20x20_10","pnml",1261,3808882,4068552,87.782393,92.746572,400,2964,51732,0.0436336,54005.81,0.04555146,"chain","sat-like",5
"2D8_gradient_30x30_10","pnml",1820,13356953,14274069,136.233016,143.0314,900,6844,176486,0.02865219,187325.8,0.03041201,"chain-prev","sat-like",5
"2D8_gradient_40x40_10","pnml",2680,32948755,35614414,197.0817432,209.8546478,1600,12324,432014,0.021909181,469048.75,0.023787364,"chain-prev","sat-like",20
"2D8_gradient_5x5_10","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"chain","sat-like",1
"2D8_gradient_5x5_100","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_150","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_200","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_50","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"adding.1","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.2","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.3","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.4","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.5","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.6","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",1
"afcs_01_a","pnml",92,4235,5117,13.178,14.205,32,30,232,0.242,303,0.316,"chain","sat-loop",10
"afcs_01_b","pnml",187,12977,16275,14.5163,15.4801,114,112,889,0.069627,1057.9,0.082854,"chain","sat-like",5
"afcs_02_a","pnml",218,10371,12506,17.656,18.45,57,55,525,0.1675,654.2,0.2087,"chain","sat-like",1
"afcs_02_b","pnml",306,33023,41409,21.4403,22.7721,206,204,2393,0.056944,2516.2,0.059875,"chain-prev","sat-like",5
"afcs_03_a","pnml",353,24882,28254,23.3759,25.5045,82,80,1212,0.1848,1679,0.256,"chain","sat-like",5
"afcs_03_b","pnml",388,68096,81290,28.67729,30.19258,298,296,4639,0.052592,5620.9,0.063723,"chain-prev","sat-like",5
"afcs_04_a","pnml",379,39901,46029,29.6165,32.2014,107,105,1770,0.15754,2367.4,0.21072,"chain","sat-like",5
"afcs_05_a","pnml",530,61187,69261,33.446,36.9104,132,130,2874,0.16748,4001.6,0.2332,"chain","sat-like",5
"afcs_06_a","pnml",489,81105,93572,39.7724,43.5103,157,155,3506,0.14407,4662.1,0.19158,"chain","sat-like",5
"afcs_12_a","pnml",951,296078,336382,69.36162,76.59375,307,305,12182,0.1301,16268,0.17374,"chain-prev","sat-like",1
"afcs_24_a","pnml",1875,1133476,1271482,128.0112,142.3574,607,605,45194,0.123066,60641.6,0.16513,"chain-prev","sat-like",1
"anderson.1","dve2C",28,514,633,5.851,6.051,7,12,34,0.4,41,0.48,"bfs-prev","sat-loop",5
"anderson.2","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"chain-prev","sat-like",1
"anderson.3","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"bfs-prev","none",
"anderson.4","dve2C",87,3044,3481,10.752,11.544,13,24,115,0.369,153,0.491,"chain-prev","sat-like",1
"anderson.6","dve2C",165,10367,11532,15.722,16.856,19,36,255,0.373,354,0.518,"bfs-prev","sat-like",1
"anderson.8","dve2C",210,16752,18442,18.022,19.207,22,42,349,0.378,490,0.531,"bfs-prev","sat-like",1
"at.1","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-like",1
"at.2","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-like",1
"at.3","dve2C",152,8773,9771,13.183,14.161,12,57,187,0.273,228,0.333,"chain-prev","sat-like",1
"at.4","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"bfs-prev","sat-like",1
"at.5","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.6","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.7","dve2C",250,16077,17771,16.697,17.841,16,85,329,0.2419,413.1,0.3038,"chain-prev","sat-like",1
"blocks.2","dve2C",197,21922,24761,27.635,28.871,14,20,232,0.829,411,1.47,"bfs-prev","sat-loop",2147483647
"blocks.3","dve2C",313,52821,58541,35.4465,36.7891,18,26,395,0.844,711,1.52,"bfs-prev","sat-loop",5
"bridge.1","dve2C",198,19141,20944,17.168,17.896,10,41,295,0.72,442,1.08,"bfs-prev","sat-loop",2147483647
"bridge.2","dve2C",298,41955,44874,19.974,20.861,12,61,513,0.701,751,1.03,"bfs-prev","sat-like",2147483647
"bridge.3","dve2C",398,76741,80805,26.8088,28.3088,14,81,771,0.6799,1105,0.9746,"bfs-prev","sat-loop",2147483647
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml",307,35424,39027,31.2241,33.5608,28,52,712,0.489,995.1,0.6835,"chain-prev","sat-like",1
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml",1882,1351587,1392332,55.17668,56.85824,48,288,6601,0.4775,9084.9,0.65718,"bfs-prev","sat-like",5
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"chain-prev","sat-like",5
"BridgeAndVehicles-V20-P20-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"chain-prev","sat-like",5
"brp2.1","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-like",2147483647
"brp2.2","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-loop",2147483647
"brp2.3","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","none",
"brp2.4","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-like",2147483647
"brp2.5","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-loop",2147483647
"brp2.6","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","none",
"CircularTrain-012","pnml",46,1445,1727,9.048,9.312,24,12,98,0.34,130,0.45,"chain","sat-like",10
"CircularTrain-024","pnml",43,3039,3680,9.8393,10.019,48,24,205,0.178,235.5,0.2045,"chain","sat-like",10
"CircularTrain-048","pnml",39,6066,7574,10.2738,10.3717,96,48,423,0.0918,454.5,0.09863,"chain","sat-like",5
"CircularTrain-096","pnml",39,12453,15318,10.2664,10.3321,192,96,855,0.046387,887.85,0.048169,"chain","sat-like",5
"CircularTrain-192","pnml",41,25175,30926,10.41741,10.46547,384,192,1726,0.02341,1757.9,0.023843,"chain","sat-like",5
"closed_system1","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system2","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system3","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system4","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system5","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",10
"collision.1","dve2C",60,2716,3294,9.437,10.462,14,31,115,0.265,137,0.315,"chain-prev","sat-like",1
"collision.2","dve2C",60,2716,3294,9.437,10.462,14,31,115,0.265,137,0.315,"chain-prev","sat-like",1
"collision.3","dve2C",95,5410,6153,12.794,14.332,18,42,168,0.222,193,0.256,"chain-prev","sat-like",1
"collision.4","dve2C",134,7569,8903,15.562,17.467,22,53,226,0.1938,276.9,0.2375,"chain-prev","sat-like",1
