filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,peak.nodes,timeBest,memBest,timeMark,memMark,minMemMark,minTimeMark,maxSolvedCount,minSd
leader_filters.6,dve2C,chain-prev,sat-like,5,94.068,9.9064028677,10,762536,66.263,762536,1.4196157735,1,1,1.4196157735,10,9.9064028677
leader_filters.7,dve2C,chain-prev,sat-loop,10,72.603,1.5323188673,10,970096,41.785,970096,1.7375373938,1,1,1.7375373938,10,1.5323188673
lifts.1,dve2C,chain-prev,sat-like,5,0.255,0.0353553391,10,3739,0.215,3739,1.1860465116,1,1,1.1860465116,10,0.0353553391
lifts.2,dve2C,chain-prev,sat-like,5,0.246,0.0211869981,10,3726,0.213,3726,1.1549295775,1,1,1.1549295775,10,0.0211869981
lifts.3,dve2C,bfs-prev,sat-loop,10,3.29,0.4672615256,10,24919,2.533,24919,1.2988551125,1,1,1.2988551125,10,0.4672615256
lifts.4,dve2C,chain-prev,sat-loop,10,5.481,0.1279279311,10,33987,4.86,33987,1.1277777778,1,1,1.1277777778,10,0.1279279311
lifts.5,dve2C,chain-prev,sat-loop,10,8.665,0.2946278255,10,51818,7.956,51818,1.0891151332,1,1,1.0891151332,10,0.2946278255
lifts.6,dve2C,chain-prev,sat-loop,2147483647,22.2003333333,1.3913265398,30,104788,18.924,104788,1.173131121,1,1,1.173131121,30,1.3913265398
lifts.7,dve2C,chain-prev,sat-loop,20,130.52,3.931448701,10,326693,96.575,326693,1.3514884805,1,1,1.3514884805,10,3.931448701
lifts.8,dve2C,chain-prev,sat-like,20,1352.806,720.0563938285,3,691231,246.138,691231,5.4961281883,1,1,5.4961281883,3,720.0563938285
lup.1,dve2C,bfs-prev,sat-loop,5,0.038,0.0042163702,10,432,0.025,432,1.52,1,1,1.52,10,0.0042163702
lup.2,dve2C,bfs-prev,sat-loop,2147483647,6.3324,0.2457355473,50,11436,6.3324,11436,1,1,1,1,50,0.2457355473
lup.3,dve2C,chain-prev,sat-loop,2147483647,27.6595,1.230226058,40,20060,27.6595,20060,1,1,1,1,40,1.230226058
lup.4,dve2C,bfs-prev,sat-loop,2147483647,123.9395,5.3958378784,40,32676,123.9395,32676,1,1,1,1,40,5.3958378784
MAPK-20,pnml,chain,none,,0.899,0.035103023,10,4507,0.575,4507,1.5634782609,1,1,1.5634782609,10,0.035103023
MAPK-40,pnml,chain,none,,11.899,0.3283104899,10,24492,8.445,24492,1.4089994079,1,1,1.4089994079,10,0.3283104899
MAPK-8,pnml,chain,sat-loop,2147483647,0.0716666667,0.0111674815,30,700,0.048,700,1.4930555556,1,1,1.4930555556,30,0.0111674815
MAPK-80,pnml,chain,sat-loop,2147483647,225.5086666667,10.100119403,30,155462,225.5086666667,155462,1,1,1,1,30,10.100119403
mcs.1,dve2C,chain-prev,sat-like,1,0.1,0.0066666667,10,1145,0.1,1145,1,1,1,1,10,0.0066666667
mcs.2,dve2C,chain-prev,sat-like,5,0.018,0.0042163702,10,383,0.018,383,1,1,1,1,10,0.0042163702
mcs.3,dve2C,chain-prev,sat-like,1,2.54,0.1455258664,10,24692,2.54,24692,1,1,1,1,10,0.1455258664
mcs.4,dve2C,chain,sat-like,1,0.035,0.0070710678,10,722,0.03275,722,1.0687022901,1,1,1.0687022901,10,0.0070710678
mcs.5,dve2C,bfs-prev,sat-like,1,55.808,2.4690745005,10,274854,55.808,274854,1,1,1,1,10,2.4690745005
mcs.6,dve2C,chain,sat-like,5,0.169,0.0268535121,10,3469,0.148,3469,1.1418918919,1,1,1.1418918919,10,0.0268535121
msmie.1,dve2C,chain-prev,sat-like,1,0.043,0.0115950181,10,388,0.041,388,1.0487804878,1,1,1.0487804878,10,0.0115950181
msmie.2,dve2C,bfs-prev,sat-like,5,0.08,0.0133333333,10,463,0.061,463,1.3114754098,1,1,1.3114754098,10,0.0133333333
msmie.3,dve2C,chain,sat-like,5,0.221,0.0137032032,10,1497,0.177,1497,1.2485875706,1,1,1.2485875706,10,0.0137032032
msmie.4,dve2C,bfs-prev,sat-like,10,0.774,0.1914970264,10,3121,0.457,3121,1.693654267,1,1,1.693654267,10,0.1914970264
MultiwaySync,pnml,chain-prev,sat-like,1,4.702,0.6167441393,10,3097,3.359,3097,1.3998213754,1,1,1.3998213754,10,0.6167441393
needham.1,dve2C,chain-prev,sat-like,1,0.014,0.0051639778,10,322,0.014,322,1,1,1,1,10,0.0051639778
needham.2,dve2C,chain-prev,sat-loop,20,0.193,0.0067494856,10,4178,0.156,4178,1.2371794872,1,1,1.2371794872,10,0.0067494856
needham.3,dve2C,chain-prev,sat-loop,20,0.404,0.0134989712,10,7928,0.376,7928,1.0744680851,1,1,1.0744680851,10,0.0134989712
needham.4,dve2C,chain-prev,sat-like,5,2.598,0.7369878636,10,43917,2.152,43917,1.2072490706,1,1,1.2072490706,10,0.7369878636
open_system_0,pnml,chain-prev,sat-loop,80,5.386,0.0844853702,10,4591,1.989,4591,2.7078934138,1,1,2.7078934138,10,0.0844853702
PaceMaker,pnml,chain,sat-like,1,1.513,0.1536988397,10,2603,1.513,2603,1,1,1,1,10,0.1536988397
parking_1_4,pnml,chain,sat-like,1,0.055,0.0108012345,10,657,0.049,657,1.1224489796,1,1,1.1224489796,10,0.0108012345
parking_2_8,pnml,chain,sat-like,1,0.211,0.0242441287,10,1309,0.211,1309,1,1,1,1,10,0.0242441287
parking_4_16,pnml,chain,sat-like,1,2.322,0.2342742932,10,12087,2.322,12087,1,1,1,1,10,0.2342742932
parking_4_32,pnml,chain,sat-like,1,18.086,1.7842595725,10,60403,18.086,60403,1,1,1,1,10,1.7842595725
peg_solitaire.1,dve2C,bfs-prev,sat-loop,10,2.896,0.1574237029,10,8621,2.896,8621,1,1,1,1,10,0.1574237029
peg_solitaire.4,dve2C,bfs-prev,sat-loop,20,171.432,9.8239048584,10,123054,171.432,123054,1,1,1,1,10,9.8239048584
peg_solitaire.5,dve2C,bfs-prev,sat-loop,40,36.236,1.3541639487,10,28006,35.091,28006,1.0326294491,1,1,1.0326294491,10,1.3541639487
peterson.1,dve2C,chain,sat-like,1,0.064,0.006992059,10,766,0.064,766,1,1,1,1,10,0.006992059
peterson.2,dve2C,chain,sat-loop,5,0.046,0.006992059,10,593,0.046,593,1,1,1,1,10,0.006992059
Peterson-2,pnml,chain-prev,sat-like,10,0.988,0.2198888608,10,3862,0.8,3862,1.235,1,1,1.235,10,0.2198888608
peterson.3,dve2C,chain,sat-like,1,0.131,0.0056764621,10,2824,0.131,2824,1,1,1,1,10,0.0056764621
Peterson-3,pnml,chain-prev,sat-like,5,72.999,5.1623410925,10,113254,70.85,113254,1.0303316867,1,1,1.0303316867,10,5.1623410925
peterson.4,dve2C,chain-prev,sat-like,1,1.667,0.0462000481,10,9795,1.667,9795,1,1,1,1,10,0.0462000481
peterson.5,dve2C,chain-prev,sat-loop,10,2.275,0.0508265023,10,11641,1.648,11641,1.380461165,1,1,1.380461165,10,0.0508265023
peterson.6,dve2C,chain-prev,sat-loop,10,21.016,0.3945236227,10,140520,20.372,140520,1.0316120165,1,1,1.0316120165,10,0.3945236227
peterson.7,dve2C,chain-prev,sat-like,1,58.323,1.1540753875,10,142996,55.266,142996,1.0553142981,1,1,1.0553142981,10,1.1540753875
pgm_protocol.1,dve2C,chain-prev,sat-like,40,1.786,0.3547831889,10,30691,1.471,30691,1.2141400408,1,1,1.2141400408,10,0.3547831889
pgm_protocol.2,dve2C,chain-prev,sat-like,40,1.956,0.1372912557,10,40522,1.956,40522,1,1,1,1,10,0.1372912557
pgm_protocol.3,dve2C,chain-prev,sat-like,5,12.485,0.7410540541,10,123421,11.083,123421,1.1265000451,1,1,1.1265000451,10,0.7410540541
pgm_protocol.4,dve2C,chain-prev,sat-like,5,2.681,0.2891155094,10,58134,2.681,58134,1,1,1,1,10,0.2891155094
pgm_protocol.5,dve2C,chain-prev,sat-loop,40,21.651,3.0388245169,10,221479,15.955,221479,1.357004074,1,1,1.357004074,10,3.0388245169
pgm_protocol.6,dve2C,chain-prev,sat-like,20,20.942,1.0343844117,10,313513,20.942,313513,1,1,1,1,10,1.0343844117
pgm_protocol.7,dve2C,chain-prev,sat-loop,80,7.573,0.1737846688,10,100147,5.272,100147,1.4364567527,1,1,1.4364567527,10,0.1737846688
pgm_protocol.8,dve2C,chain-prev,sat-like,2147483647,82.615,1.0222116545,10,470720,36.108,470720,2.2879971198,1,1,2.2879971198,10,1.0222116545
philo_dyn-3-unfolded,pnml,chain-prev,sat-like,5,0.045,0.0052704628,10,602,0.045,602,1,1,1,1,10,0.0052704628
Philosophers-10,pnml,chain-prev,sat-like,5,0.016,0.0051639778,10,295,0.016,295,1,1,1,1,10,0.0051639778
Philosophers-100,pnml,chain,sat-like,10,0.54,0.0359010987,10,3178,0.54,3178,1,1,1,1,10,0.0359010987
Philosophers-1000,pnml,chain,sat-like,40,54.931,5.3725691144,10,33360,54.931,33360,1,1,1,1,10,5.3725691144
Philosophers-20,pnml,chain,sat-like,10,0.04,0.0081649658,10,615,0.04,615,1,1,1,1,10,0.0081649658
Philosophers-200,pnml,chain,sat-like,10,2.078,0.2271954616,10,6375,2.078,6375,1,1,1,1,10,0.2271954616
Philosophers-2000,pnml,chain,sat-like,20,222.319,16.4537665056,10,,222.319,,1,,,1,10,16.4537665056
Philosophers-5,pnml,chain-prev,sat-like,20,0.006,0.006992059,10,135,0.006,135,1,1,1,1,10,0.006992059
Philosophers-50,pnml,chain-prev,sat-like,10,0.161,0.019692074,10,1575,0.161,1575,1,1,1,1,10,0.019692074
Philosophers-500,pnml,chain,sat-like,20,13.122,1.8500738724,10,16679,13.122,16679,1,1,1,1,10,1.8500738724
phils.1,dve2C,chain-prev,sat-like,1,0.008,0.0063245553,10,53,0.005,53,1.6,1,1,1.6,10,0.0063245553
phils.2,dve2C,chain-prev,sat-like,1,0.007,0.0067494856,10,159,0.007,159,1,1,1,1,10,0.0067494856
phils.3,dve2C,chain,sat-like,5,0.008,0.0063245553,10,98,0.007,98,1.1428571429,1,1,1.1428571429,10,0.0063245553
phils.4,dve2C,chain-prev,sat-like,1,0.097,0.0067494856,10,2018,0.097,2018,1,1,1,1,10,0.0067494856
phils.5,dve2C,chain,sat-like,1,0.022,0.0042163702,10,225,0.022,225,1,1,1,1,10,0.0042163702
phils.6,dve2C,chain-prev,sat-like,10,0.045,0.0108012345,10,272,0.029,272,1.5517241379,1,1,1.5517241379,10,0.0108012345
phils.7,dve2C,chain-prev,sat-like,5,2.959,0.5312762412,10,29200,2.031,29200,1.4569177745,1,1,1.4569177745,10,0.5312762412
phils.8,dve2C,chain-prev,sat-loop,20,0.064,0.0051639778,10,287,0.03,287,2.1333333333,1,1,2.1333333333,10,0.0051639778
pouring.1,dve2C,chain-prev,sat-like,1,0.949,0.0317804972,10,346,0.949,346,1,1,1,1,10,0.0317804972
pouring.2,dve2C,chain-prev,sat-like,1,1.062,0.0339280284,10,872,0.967,872,1.0982419855,1,1,1.0982419855,10,0.0339280284
ProductionCell,pnml,chain,sat-like,5,16.26,1.3678450205,10,24711,14.02,24711,1.1597717546,1,1,1.1597717546,10,1.3678450205
production_cell.2,dve2C,chain-prev,sat-loop,10,0.081,0.0056764621,10,788,0.08,788,1.0125,1,1,1.0125,10,0.0056764621
production_cell.4,dve2C,chain-prev,sat-like,10,1.258,0.1372588795,10,8081,0.601,8081,2.0931780366,1,1,2.0931780366,10,0.1372588795
protocols.2,dve2C,chain,sat-like,5,0.02,0.0047140452,10,391,0.02,391,1,1,1,1,10,0.0047140452
protocols.3,dve2C,chain,sat-like,2147483647,0.014,0.0070891756,40,271,0.011,271,1.2727272727,1,1,1.2727272727,40,0.0070891756
protocols.4,dve2C,chain-prev,none,,0.168,0.0168654809,10,3925,0.12,3925,1.4,1,1,1.4,10,0.0168654809
protocols.5,dve2C,chain-prev,sat-loop,2147483647,0.4405,0.0363705996,40,9662,0.228,9662,1.9320175439,1,1,1.9320175439,40,0.0363705996
public_subscribe.2,dve2C,chain-prev,sat-like,1,3.287,0.1036071641,10,47131,3.287,47131,1,1,1,1,10,0.1036071641
public_subscribe.5,dve2C,bfs-prev,sat-like,5,215.897,10.2201403013,10,1173186,120.966,1173186,1.7847742341,1,1,1.7847742341,10,10.2201403013
QCertifProtocol_02-unfold,pnml,chain-prev,sat-like,5,0.063,0.0067494856,10,2427,0.063,2427,1,1,1,1,10,0.0067494856
QCertifProtocol_06-unfold,pnml,chain-prev,sat-like,5,9.923,1.3513043082,10,375519,9.923,375519,1,1,1,1,10,1.3513043082
raft_02,pnml,chain,sat-like,1,0.042,0.0078881064,10,290,0.023,290,1.8260869565,1,1,1.8260869565,10,0.0078881064
raft_03,pnml,chain-prev,sat-like,1,0.706,0.0811308956,10,1733,0.146,1733,4.8356164384,1,1,4.8356164384,10,0.0811308956
raft_04,pnml,chain-prev,sat-like,1,11.776,0.6206126006,10,9300,1.551,9300,7.5925209542,1,1,7.5925209542,10,0.6206126006
raft_05,pnml,chain,sat-like,10,11.925,1.7415845276,10,40124,6.761,40124,1.7637923384,1,1,1.7637923384,10,1.7415845276
raft_06,pnml,bfs-prev,sat-like,5,1209.959,761.7455789238,4,147069,31.986,147069,37.8277683987,1,1,37.8277683987,4,761.7455789238
RAS-C-10,pnml,chain-prev,sat-like,5,0.022,0.0042163702,10,509,0.022,509,1,1,1,1,10,0.0042163702
RAS-C-100,pnml,chain,sat-like,10,1.125,0.0967528352,10,5369,1.125,5369,1,1,1,1,10,0.0967528352
RAS-C-15,pnml,chain,sat-like,5,0.045,0.0052704628,10,768,0.045,768,1,1,1,1,10,0.0052704628
RAS-C-20,pnml,chain,sat-like,5,0.066,0.0150554531,10,1049,0.066,1049,1,1,1,1,10,0.0150554531
RAS-C-3,pnml,chain-prev,none,,0.007,0.0048304589,10,55,0.005,55,1.4,1,1,1.4,10,0.0048304589
RAS-C-5,pnml,chain,sat-like,20,0.01,0.0081649658,10,228,0.01,228,1,1,1,1,10,0.0081649658
RAS-C-50,pnml,chain,sat-like,5,0.307,0.0245175674,10,2669,0.307,2669,1,1,1,1,10,0.0245175674
RAS-R-10,pnml,chain,sat-like,20,0.024,0.0051639778,10,204,0.017,204,1.4117647059,1,1,1.4117647059,10,0.0051639778
RAS-R-100,pnml,chain-prev,sat-like,80,38.482,1.6896074495,10,12233,7.536,12233,5.1064225053,1,1,5.1064225053,10,1.6896074495
RAS-R-15,pnml,chain,sat-like,20,0.067,0.008232726,10,388,0.036,388,1.8611111111,1,1,1.8611111111,10,0.008232726
RAS-R-2,pnml,chain,none,,0.002,0.0042163702,10,19,0.002,19,1,1,1,1,10,0.0042163702
RAS-R-20,pnml,chain,sat-loop,40,0.206,0.006992059,10,592,0.074,592,2.7837837838,1,1,2.7837837838,10,0.006992059
RAS-R-3,pnml,chain-prev,none,,0.006,0.006992059,10,33,0.004,33,1.5,1,1,1.5,10,0.006992059
RAS-R-5,pnml,chain,sat-loop,2147483647,0.0085,0.0069981683,40,68,0.005,68,1.7,1,1,1.7,40,0.0069981683
RAS-R-50,pnml,chain-prev,sat-like,40,3.513,0.7884873,10,3313,0.96,3313,3.659375,1,1,3.659375,10,0.7884873
reader_writer.1,dve2C,bfs-prev,sat-loop,10,0.012,0.0063245553,10,155,0.012,155,1,1,1,1,10,0.0063245553
reader_writer.2,dve2C,chain-prev,sat-loop,1,0.013,0.0067494856,10,181,0.013,181,1,1,1,1,10,0.0067494856
reader_writer.3,dve2C,chain-prev,sat-like,2147483647,0.0383333333,0.0053066863,30,407,0.0383333333,407,1,1,1,1,30,0.0053066863
rether.1,dve2C,chain-prev,sat-like,1,0.127,0.008232726,10,1449,0.127,1449,1,1,1,1,10,0.008232726
rether.2,dve2C,bfs-prev,sat-loop,20,0.973,0.0245175674,10,5185,0.687,5185,1.4163027656,1,1,1.4163027656,10,0.0245175674
rether.3,dve2C,chain-prev,sat-like,1,17.382,0.3698287892,10,58951,17.382,58951,1,1,1,1,10,0.3698287892
rether.4,dve2C,bfs-prev,sat-loop,1,71.749,13.0331819684,10,196780,68.3925,196780,1.0490770187,1,1,1.0490770187,10,13.0331819684
rether.5,dve2C,chain-prev,sat-loop,40,155.279,3.1497458451,10,397610,122.263,397610,1.2700408137,1,1,1.2700408137,10,3.1497458451
rether.6,dve2C,chain-prev,sat-loop,2147483647,880.26,770.4779406726,12,645330,760.937,645330,1.1568106164,1,1,1.1568106164,12,770.4779406726
rether.7,dve2C,chain-prev,sat-like,10,432.63,480.5395850037,9,810032,222.902,810032,1.9408977936,1,1,1.9408977936,9,480.5395850037
ring,pnml,chain,sat-like,5,2.762,0.3455044621,10,7287,2.613,7287,1.0570225794,1,1,1.0570225794,10,0.3455044621
rwmutex-r10w10,pnml,chain,sat-like,20,0.025,0.0052704628,10,432,0.025,432,1,1,1,1,10,0.0052704628
rwmutex-r10w100,pnml,chain-prev,sat-loop,40,0.631,0.042804465,10,883,0.631,883,1,1,1,1,10,0.042804465
rwmutex-r10w1000,pnml,chain-prev,sat-loop,2147483647,53.725,3.0916563342,10,8200,53.725,8200,1,1,1,1,10,3.0916563342
rwmutex-r10w20,pnml,chain-prev,sat-loop,20,0.061,0.0056764621,10,1006,0.061,1006,1,1,1,1,10,0.0056764621
rwmutex-r10w2000,pnml,chain-prev,none,,236.818,11.2417671604,10,,236.818,,1,,,1,10,11.2417671604
rwmutex-r10w50,pnml,bfs-prev,sat-loop,5,0.25,0.0149071198,10,2614,0.25,2614,1,1,1,1,10,0.0149071198
rwmutex-r10w500,pnml,bfs-prev,sat-loop,80,54.93,1.6280390386,10,229089,54.93,229089,1,1,1,1,10,1.6280390386
rwmutex-r20w10,pnml,chain-prev,sat-loop,5,16.272,0.9680312208,10,1608,16.272,1608,1,1,1,1,10,0.9680312208
SafeBus-03-unfolded,pnml,chain-prev,sat-like,1,0.6,0.0785988408,10,5326,0.515,5326,1.1650485437,1,1,1.1650485437,10,0.0785988408
schedule_world.1,dve2C,chain-prev,sat-like,1,0.049,0.0073786479,10,855,0.049,855,1,1,1,1,10,0.0073786479
schedule_world.2,dve2C,chain,sat-like,5,0.179,0.0207899548,10,4255,0.159,4255,1.1257861635,1,1,1.1257861635,10,0.0207899548
schedule_world.3,dve2C,bfs,sat-like,5,0.693,0.0731892524,10,8265,0.656,8265,1.056402439,1,1,1.056402439,10,0.0731892524
sg-2-1-2,pnml,chain,sat-like,1,1.728,0.1694304184,10,7666,1.728,7666,1,1,1,1,10,0.1694304184
shared_memory-pt-10,pnml,chain-prev,sat-like,5,2.678,0.1341475142,10,30896,2.678,30896,1,1,1,1,10,0.1341475142
shared_memory-pt-5,pnml,chain,sat-like,5,0.023,0.0067494856,10,464,0.023,464,1,1,1,1,10,0.0067494856
simple_lbs-10,pnml,chain-prev,sat-like,5,1416.424,617.6167884916,3,,1416.424,,1,,,1,3,617.6167884916
simple_lbs-2,pnml,chain,sat-like,1,0.047,0.0067494856,10,866,0.047,866,1,1,1,1,10,0.0067494856
simple_lbs-5,pnml,chain-prev,sat-like,1,2.401,0.3045743843,10,9755,2.401,9755,1,1,1,1,10,0.3045743843
SmallOperatingSystem-MT0016DC0008,pnml,bfs-prev,sat-like,1,0.056,0.006992059,10,2473,0.056,2473,1,1,1,1,10,0.006992059
SmallOperatingSystem-MT0032DC0008,pnml,chain-prev,sat-like,1,0.166,0.0134989712,10,7873,0.166,7873,1,1,1,1,10,0.0134989712
SmallOperatingSystem-MT0032DC0016,pnml,bfs-prev,sat-like,1,0.398,0.020439613,10,14601,0.398,14601,1,1,1,1,10,0.020439613
SmallOperatingSystem-MT0064DC0016,pnml,bfs-prev,sat-like,1,1.373,0.0956904732,10,50233,1.373,50233,1,1,1,1,10,0.0956904732
SmallOperatingSystem-MT0064DC0032,pnml,chain-prev,sat-loop,2147483647,4.1922,0.273020071,50,98569,4.1922,98569,1,1,1,1,50,0.273020071
SmallOperatingSystem-MT0128DC0032,pnml,bfs-prev,sat-like,1,15.465,1.5105499366,10,355177,15.465,355177,1,1,1,1,10,1.5105499366
SmallOperatingSystem-MT0128DC0064,pnml,chain-prev,sat-loop,2147483647,52.7602,2.0448486696,50,720393,52.7602,720393,1,1,1,1,50,2.0448486696
SmallOperatingSystem-MT0256DC0064,pnml,chain-prev,sat-like,1,401.139,491.5846108352,9,2663113,401.139,2663113,1,1,1,1,9,491.5846108352
sokoban.1,dve2C,chain,sat-loop,20,8.205,0.3950878946,10,11917,7.281,11917,1.1269056448,1,1,1.1269056448,10,0.3950878946
sokoban.2,dve2C,chain,sat-loop,40,74.102,3.4455310831,10,77008,68.069,77008,1.0886306542,1,1,1.0886306542,10,3.4455310831
soli0_counter_square5,pnml,bfs-prev,sat-like,2147483647,1650.289,460.8021025731,2,6259561,1274.4915,6259561,1.2948607347,1,1,1.2948607347,2,460.8021025731
