filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,peak.nodes,timeBest,memBest,timeMark,memMark,minMemMark,maxSolvedCount,minSd
bopdp.2,dve2C,chain-prev,sat-like,1,0.202,0.0078881064,10,1476,0.202,1471,1,1.0033990483,1.0033990483,10,0.0078881064
bopdp.3,dve2C,chain-prev,sat-loop,20,0.801,0.0417532434,10,5373,0.801,5322,1,1.0095828636,1.0095828636,10,0.0417532434
bridge.1,dve2C,bfs-prev,sat-loop,20,0.072,0.0078881064,10,1538,0.072,1527,1,1.0072036673,1.0072036673,10,0.0078881064
bridge.2,dve2C,bfs-prev,sat-loop,20,1.008,0.0229975844,10,15631,1.008,14585,1,1.071717518,1.071717518,10,0.0229975844
bridge.3,dve2C,bfs-prev,sat-loop,20,4.407,0.1037143513,10,54308,4.407,54308,1,1,1,10,0.1037143513
BridgeAndVehicles-V04-P05-N02-unfolded,pnml,chain-prev,sat-like,1,0.125,0.0271825107,10,2966,0.125,2966,1,1,1,10,0.0271825107
BridgeAndVehicles-V10-P10-N10-unfolded,pnml,bfs-prev,sat-like,5,13.087,1.0547990857,10,88849,13.087,88471,1,1.0042725865,1.0042725865,10,1.0547990857
BridgeAndVehicles-V20-P10-N10-unfolded,pnml,chain-prev,sat-like,5,198.418,11.5805707017,10,566212,198.418,566212,1,1,1,10,11.5805707017
BridgeAndVehicles-V20-P10-N20-unfolded,pnml,bfs-prev,sat-like,10,1692.452,340.0966377958,1,,1692.452,,1,,,1,340.0966377958
BridgeAndVehicles-V20-P20-N10-unfolded,pnml,chain-prev,sat-like,5,196.893,10.3165380175,10,,196.893,562997,1,,,10,10.3165380175
brp2.1,dve2C,chain-prev,sat-like,2147483647,0.973,0.0309300286,10,27686,0.973,27663,1,1.0008314355,1.0008314355,10,0.0309300286
brp2.2,dve2C,chain-prev,sat-loop,20,1.526,0.0389301369,10,39255,1.526,39160,1,1.0024259448,1.0024259448,10,0.0389301369
brp2.3,dve2C,chain-prev,sat-like,80,0.945,0.0350396601,10,26627,0.945,26605,1,1.0008269122,1.0008269122,10,0.0350396601
brp2.4,dve2C,chain-prev,sat-loop,20,6.824,0.2298405244,10,187280,6.824,187130,1,1.0008015818,1.0008015818,10,0.2298405244
brp2.5,dve2C,chain-prev,sat-loop,80,4.686,0.080581222,10,105490,4.686,105382,1,1.001024843,1.001024843,10,0.080581222
brp2.6,dve2C,chain-prev,sat-loop,40,44.374,1.425117539,10,863867,44.374,863477,1,1.0004516623,1.0004516623,10,1.425117539
cambridge.1,dve2C,chain-prev,sat-loop,10,0.255,0.0690008051,10,2781,0.255,2781,1,1,1,10,0.0690008051
cambridge.2,dve2C,chain-prev,sat-loop,10,0.281,0.01197219,10,3399,0.281,3399,1,1,1,10,0.01197219
cambridge.3,dve2C,chain-prev,sat-loop,5,0.267,0.0105934991,10,3836,0.267,3737,1,1.0264918384,1.0264918384,10,0.0105934991
cambridge.4,dve2C,chain-prev,sat-like,1,0.852,0.1190518095,10,8323,0.852,6545,1,1.271657754,1.271657754,10,0.1190518095
cambridge.5,dve2C,chain-prev,sat-loop,20,9.143,0.1462152143,10,29227,9.143,29227,1,1,1,10,0.1462152143
cambridge.6,dve2C,bfs-prev,sat-like,1,43.082,1.3453690118,10,69647,43.082,69647,1,1,1,10,1.3453690118
cambridge.7,dve2C,bfs-prev,sat-loop,20,154.933,3.6951200552,10,179526,154.933,141436,1,1.2693090868,1.2693090868,10,3.6951200552
circadian_clock-000001,pnml,chain,sat-like,1,0.005,0.0084983659,10,40,0.005,36,1,1.1111111111,1.1111111111,10,0.0084983659
circadian_clock-000010,pnml,chain-prev,sat-like,1,0.023,0.0048304589,10,284,0.023,254,1,1.1181102362,1.1181102362,10,0.0048304589
circadian_clock-000100,pnml,chain,sat-loop,10,5.379,0.3310068814,10,6869,5.379,6869,1,1,1,10,0.3310068814
CircularTrain-012,pnml,chain,sat-like,10,0.007,0.008232726,10,282,0.007,279,1,1.0107526882,1.0107526882,10,0.008232726
CircularTrain-024,pnml,chain,sat-like,10,0.057,0.008232726,10,1348,0.057,1319,1,1.0219863533,1.0219863533,10,0.008232726
CircularTrain-048,pnml,chain,sat-like,5,0.638,0.0511642236,10,9239,0.638,7749,1,1.1922828752,1.1922828752,10,0.0511642236
CircularTrain-096,pnml,chain,sat-like,5,9.548,1.1864681482,10,66405,9.548,55526,1,1.1959262328,1.1959262328,10,1.1864681482
CircularTrain-192,pnml,chain,sat-like,5,369.13,502.8882687702,9,,369.13,497050,1,,,9,502.8882687702
closed_system1,pnml,chain-prev,sat-like,5,0.853,0.1459109317,10,4841,0.853,4785,1,1.0117032393,1.0117032393,10,0.1459109317
closed_system2,pnml,chain-prev,sat-like,5,2.117,0.3416317055,10,9763,2.117,9688,1,1.0077415359,1.0077415359,10,0.3416317055
closed_system3,pnml,chain-prev,sat-like,5,3.114,0.2922403881,10,11850,3.114,11625,1,1.0193548387,1.0193548387,10,0.2922403881
closed_system4,pnml,chain-prev,sat-like,5,3.017,0.3166508768,10,13306,3.017,12397,1,1.0733241913,1.0733241913,10,0.3166508768
closed_system5,pnml,chain-prev,sat-like,10,2.331,0.108571533,10,11313,2.331,11095,1,1.0196484903,1.0196484903,10,0.108571533
collision.1,dve2C,chain-prev,sat-like,1,0.039,0.0031622777,10,309,0.039,309,1,1,1,10,0.0031622777
collision.2,dve2C,chain-prev,sat-like,1,0.057,0.0067494856,10,344,0.057,339,1,1.0147492625,1.0147492625,10,0.0067494856
collision.3,dve2C,chain-prev,sat-like,1,0.261,0.0137032032,10,1894,0.261,1881,1,1.0069112174,1.0069112174,10,0.0137032032
collision.4,dve2C,chain-prev,sat-like,1,1.187,0.0275075747,10,11255,1.187,11077,1,1.0160693329,1.0160693329,10,0.0275075747
collision.5,dve2C,bfs-prev,sat-like,1,3.226,0.0623965811,10,26291,3.226,26291,1,1,1,10,0.0623965811
collision.6,dve2C,chain-prev,sat-like,1,11.114,0.2311420919,10,94031,11.114,90452,1,1.0395679476,1.0395679476,10,0.2311420919
cs_repetitions-2-unfolded,pnml,chain,sat-loop,20,0.03,0.0047140452,10,751,0.03,688,1,1.0915697674,1.0915697674,10,0.0047140452
cs_repetitions-3-unfolded,pnml,chain,sat-like,10,2.474,0.60400883,10,18958,2.474,10411,1,1.8209586015,1.8209586015,10,0.60400883
cs_repetitions-4-unfolded,pnml,chain,sat-like,20,49.91,2.6084733722,10,239083,49.91,91162,1,2.6226168798,2.6226168798,10,2.6084733722
cyclic_scheduler.1,dve2C,chain-prev,sat-like,10,0.018,0.0042163702,10,221,0.018,221,1,1,1,10,0.0042163702
cyclic_scheduler.2,dve2C,chain,sat-like,1,0.015,0.0052704628,10,275,0.015,197,1,1.3959390863,1.3959390863,10,0.0052704628
cyclic_scheduler.3,dve2C,chain,sat-like,1,0.039,0.0073786479,10,461,0.039,373,1,1.235924933,1.235924933,10,0.0073786479
cyclic_scheduler.4,dve2C,chain-prev,sat-loop,80,0.046,0.0051639778,10,411,0.046,411,1,1,1,10,0.0051639778
database2UNFOLD,pnml,chain,sat-like,5,0.01,0.0047140452,10,170,0.01,170,1,1,1,10,0.0047140452
database4UNFOLD,pnml,bfs,sat-like,5,30.712,1.7603585493,10,502348,30.712,394610,1,1.2730239984,1.2730239984,10,1.7603585493
dekker-10,pnml,chain-prev,sat-like,5,0.492,0.0532916504,10,6624,0.492,6624,1,1,1,10,0.0532916504
dekker-15,pnml,chain-prev,sat-like,10,23.347,0.7993476507,10,174024,23.347,174024,1,1,1,10,0.7993476507
deploy_2_a,pnml,chain,sat-loop,5,0.111,0.0144913767,10,560,0.111,492,1,1.1382113821,1.1382113821,10,0.0144913767
deploy_3_a,pnml,chain-prev,sat-loop,40,0.281,0.0334829973,10,924,0.281,891,1,1.037037037,1.037037037,10,0.0334829973
deploy_4_a,pnml,chain,sat-loop,5,1.586,0.1197404601,10,3345,1.586,2633,1,1.2704139765,1.2704139765,10,0.1197404601
deploy_5_a,pnml,chain,sat-loop,20,2.954,0.7088833159,10,6675,2.954,3279,1,2.0356816102,2.0356816102,10,0.7088833159
deploy_6_a,pnml,chain,sat-loop,1,8.465,1.068168214,10,9184,8.465,6962,1,1.3191611606,1.3191611606,10,1.068168214
deploy_7_a,pnml,chain,sat-like,80,22.993,2.2029931659,10,19842,22.993,19842,1,1,1,10,2.2029931659
des_00_a,pnml,chain,sat-like,10,9.082,1.0007530498,10,78005,9.082,72416,1,1.0771790764,1.0771790764,10,1.0007530498
des_01_a,pnml,chain,sat-like,5,1.334,0.1462266126,10,31278,1.334,31278,1,1,1,10,0.1462266126
des_02_a,pnml,chain,sat-like,40,7.037,0.3011109061,10,111361,7.037,105903,1,1.0515377279,1.0515377279,10,0.3011109061
distributeur-01-unfolded-02,pnml,chain,sat-like,80,0.016,0.0051639778,10,114,0.016,79,1,1.4430379747,1.4430379747,10,0.0051639778
dlcsh_2_a,pnml,chain-prev,sat-loop,80,158.253,6.071101035,10,693866,158.253,693866,1,1,1,10,6.071101035
dnawalk-01,pnml,bfs-prev,sat-loop,40,0.035,0.0052704628,10,499,0.035,412,1,1.2111650485,1.2111650485,10,0.0052704628
dnawalk-02,pnml,chain,sat-loop,1,0.031,0.01197219,10,422,0.031,376,1,1.1223404255,1.1223404255,10,0.01197219
dnawalk-03,pnml,chain,none,,0.033,0.008232726,10,487,0.033,388,1,1.2551546392,1.2551546392,10,0.008232726
dnawalk-04,pnml,bfs-prev,sat-loop,20,1.161,0.0268535121,10,7450,1.161,4986,1,1.4941837144,1.4941837144,10,0.0268535121
dnawalk-05,pnml,bfs-prev,sat-like,10,3.416,0.3289444398,10,10035,3.416,7306,1,1.3735286066,1.3735286066,10,0.3289444398
dnawalk-06,pnml,bfs-prev,sat-like,10,3.348,0.2832274312,10,10239,3.348,7689,1,1.3316426063,1.3316426063,10,0.2832274312
dnawalk-07,pnml,bfs-prev,sat-like,10,2.628,0.3131843617,10,11644,2.628,11644,1,1,1,10,0.3131843617
dnawalk-08,pnml,chain-prev,sat-like,5,3.038,0.2316031088,10,10904,3.038,9227,1,1.1817492143,1.1817492143,10,0.2316031088
dnawalk-09,pnml,chain-prev,sat-like,1,2.325,0.0356682243,10,6242,2.325,6242,1,1,1,10,0.0356682243
dnawalk-10,pnml,chain,sat-like,5,2.625,0.3403021533,10,12967,2.625,9538,1,1.3595093311,1.3595093311,10,0.3403021533
dnawalk-11,pnml,chain,sat-like,5,2.141,0.2563612902,10,7034,2.141,5159,1,1.3634425276,1.3634425276,10,0.2563612902
dnawalk-12,pnml,chain,sat-loop,20,11.297,0.6436881578,10,34462,11.297,24274,1,1.4197083299,1.4197083299,10,0.6436881578
dnawalk-13,pnml,bfs-prev,sat-like,20,14.106,1.0044146997,10,49028,14.106,49028,1,1,1,10,1.0044146997
dnawalk-14,pnml,bfs-prev,sat-loop,20,16.468,1.0263181227,10,39767,16.468,36253,1,1.0969299092,1.0969299092,10,1.0263181227
dnawalk-15,pnml,chain,sat-like,20,6.711,0.6602263921,10,23719,6.711,19321,1,1.2276279696,1.2276279696,10,0.6602263921
elevator.1,dve2C,bfs-prev,sat-like,1,0.391,0.0179195734,10,9506,0.391,9155,1,1.0383397051,1.0383397051,10,0.0179195734
elevator.2,dve2C,chain-prev,sat-like,1,0.116,0.0051639778,10,2939,0.116,2939,1,1,1,10,0.0051639778
elevator2.1,dve2C,chain,sat-like,1,0.01,0.0047140452,10,254,0.01,251,1,1.0119521912,1.0119521912,10,0.0047140452
elevator2.2,dve2C,chain-prev,sat-like,1,0.041,0.0087559504,10,698,0.041,685,1,1.0189781022,1.0189781022,10,0.0087559504
elevator2.3,dve2C,chain,sat-like,1,1.112,0.0571158666,10,1685,1.112,932,1,1.8079399142,1.8079399142,10,0.0571158666
elevator.3,dve2C,bfs-prev,sat-like,1,7.542,0.2552036224,10,167481,7.542,167403,1,1.0004659415,1.0004659415,10,0.2552036224
elevator.4,dve2C,bfs-prev,sat-like,1,13.637,0.2865910753,10,228157,13.637,221558,1,1.0297845259,1.0297845259,10,0.2865910753
EnergyBus,pnml,chain-prev,sat-like,5,139.209,7.4013308863,10,,139.209,,1,,,10,7.4013308863
erk-000001,pnml,bfs,sat-like,1,0.004,0.0051639778,10,28,0.004,28,1,1,1,10,0.0051639778
erk-000010,pnml,bfs,sat-loop,1,0.024,0.006992059,10,946,0.024,871,1,1.0861079219,1.0861079219,10,0.006992059
erk-000100,pnml,chain-prev,sat-like,5,67.136,2.0246162874,10,374611,67.136,374611,1,1,1,10,2.0246162874
exit.1,dve2C,chain-prev,sat-loop,40,1.07,0.0266666667,10,29125,1.07,28844,1,1.0097420607,1.0097420607,10,0.0266666667
exit.2,dve2C,chain,sat-like,40,0.26,0.0094280904,10,3745,0.26,3303,1,1.1338177414,1.1338177414,10,0.0094280904
exit.3,dve2C,chain-prev,sat-like,1,2.64,0.1623439422,10,27153,2.64,27153,1,1,1,10,0.1623439422
exit.4,dve2C,chain-prev,sat-like,1,84.709,2.3387244862,10,615433,84.709,615433,1,1,1,10,2.3387244862
exit.5,dve2C,chain,sat-loop,80,0.743,0.0266874919,10,11845,0.743,11845,1,1,1,10,0.0266874919
extinction.1,dve2C,chain-prev,sat-loop,20,0.25,0.0066666667,10,4972,0.25,4927,1,1.0091333469,1.0091333469,10,0.0066666667
extinction.2,dve2C,chain-prev,sat-loop,40,0.416,0.0117378779,10,8722,0.416,8577,1,1.016905678,1.016905678,10,0.0117378779
extinction.3,dve2C,chain-prev,sat-like,1,1.615,0.0395108986,10,29352,1.615,29247,1,1.0035901118,1.0035901118,10,0.0395108986
extinction.4,dve2C,chain-prev,sat-like,1,11.993,0.1294475441,10,155741,11.993,155741,1,1,1,10,0.1294475441
firewire_link.2,dve2C,chain-prev,sat-like,1,0.842,0.0248551358,10,5132,0.842,5113,1,1.003716018,1.003716018,10,0.0248551358
firewire_link.3,dve2C,chain-prev,sat-like,1,30.335,0.8774236276,10,112016,30.335,112016,1,1,1,10,0.8774236276
firewire_link.5,dve2C,chain-prev,sat-like,1,21.265,0.2891462529,10,96933,21.265,96933,1,1,1,10,0.2891462529
fischer.1,dve2C,chain-prev,sat-like,40,0.012,0.0063245553,10,278,0.012,270,1,1.0296296296,1.0296296296,10,0.0063245553
fischer.2,dve2C,chain-prev,sat-like,1,0.06,0.0066666667,10,1213,0.06,1213,1,1,1,10,0.0066666667
fischer.3,dve2C,bfs-prev,sat-like,1,1.016,0.0263312235,10,8902,1.016,8902,1,1,1,10,0.0263312235
fischer.4,dve2C,chain-prev,sat-like,1,0.698,0.0282055944,10,13790,0.698,13790,1,1,1,10,0.0282055944
fischer.5,dve2C,bfs-prev,sat-like,1,7.257,0.2208594324,10,65138,7.257,65138,1,1,1,10,0.2208594324
fischer.6,dve2C,chain-prev,sat-like,1,1.745,0.0777817459,10,29648,1.745,29648,1,1,1,10,0.0777817459
fischer.7,dve2C,bfs-prev,sat-like,1,10.935,0.3093811026,10,96473,10.935,96473,1,1,1,10,0.3093811026
FMS-10,pnml,chain,sat-like,1,0.041,0.0031622777,10,1447,0.041,1437,1,1.0069589422,1.0069589422,10,0.0031622777
FMS-100,pnml,chain-prev,sat-like,1,19.354,1.9733006754,10,264727,19.354,264627,1,1.0003778904,1.0003778904,10,1.9733006754
FMS-2,pnml,chain,none,,0.006,0.006992059,10,123,0.006,123,1,1,1,10,0.006992059
FMS-20,pnml,chain-prev,sat-like,1,0.194,0.0157762128,10,5767,0.194,5747,1,1.0034800766,1.0034800766,10,0.0157762128
FMS-200,pnml,chain-prev,sat-like,1,189.342,13.1357813285,10,,189.342,,1,,,10,13.1357813285
FMS-5,pnml,chain,sat-like,1,0.014,0.0051639778,10,437,0.014,432,1,1.0115740741,1.0115740741,10,0.0051639778
FMS-50,pnml,bfs-prev,sat-like,1,2.388,0.2556386338,10,46127,2.388,46077,1,1.0010851401,1.0010851401,10,0.2556386338
galloc_res-3,pnml,chain-prev,sat-like,1,56.974,3.8611115268,10,,56.974,,1,,,10,3.8611115268
gear.1,dve2C,bfs-prev,sat-like,80,0.104,0.006992059,10,3301,0.104,3288,1,1.0039537713,1.0039537713,10,0.006992059
gear.2,dve2C,bfs-prev,sat-loop,40,0.582,0.013984118,10,16401,0.582,16338,1,1.0038560411,1.0038560411,10,0.013984118
G-PPP-1000-10,pnml,chain-prev,sat-loop,40,4.57,0.2206555888,10,44655,4.57,44655,1,1,1,10,0.2206555888
G-PPP-1000-100,pnml,bfs-prev,sat-like,1,0.296,0.0236643191,10,9666,0.296,9666,1,1,1,10,0.0236643191
G-PPP-1000-1000,pnml,bfs-prev,sat-like,1,25.574,2.1834844731,10,96066,25.574,96066,1,1,1,10,2.1834844731
G-PPP-100-10,pnml,chain-prev,sat-like,40,4.576,0.2955672512,10,44655,4.576,44655,1,1,1,10,0.2955672512
G-PPP-100-100,pnml,bfs-prev,sat-like,1,0.303,0.0302030168,10,9666,0.303,9666,1,1,1,10,0.0302030168
G-PPP-100-1000,pnml,bfs-prev,sat-like,1,0.286,0.0096609178,10,9668,0.286,9668,1,1,1,10,0.0096609178
G-PPP-100-10000,pnml,chain-prev,sat-like,1,0.295,0.0126929552,10,9668,0.295,9668,1,1,1,10,0.0126929552
G-PPP-100-100000,pnml,bfs-prev,sat-like,1,0.286,0.0134989712,10,9668,0.286,9668,1,1,1,10,0.0134989712
G-PPP-10-10,pnml,chain-prev,sat-loop,2147483647,4.92,0.4747865017,10,58001,4.92,56649,1,1.0238662642,1.0238662642,10,0.4747865017
G-PPP-10-100,pnml,chain-prev,sat-like,40,6.609,0.3094960061,10,64121,6.609,61199,1,1.0477458782,1.0477458782,10,0.3094960061
G-PPP-1-1,pnml,chain-prev,sat-like,10,0.042,0.0078881064,10,1426,0.042,1426,1,1,1,10,0.0078881064
G-PPP-1-10,pnml,chain,sat-like,20,0.162,0.0113529242,10,3835,0.162,3516,1,1.0907281001,1.0907281001,10,0.0113529242
G-PPP-1-100,pnml,chain-prev,sat-loop,20,2.358,0.2295309226,10,5209,2.358,4932,1,1.0561638281,1.0561638281,10,0.2295309226
G-PPP-1-1000,pnml,chain-prev,sat-like,20,212.868,13.5192848266,10,26809,212.868,23605,1,1.1357339547,1.1357339547,10,13.5192848266
hanoi.1,dve2C,bfs-prev,sat-loop,40,0.995,0.0362859018,10,15950,0.995,15950,1,1,1,10,0.0362859018
hanoi.2,dve2C,bfs-prev,sat-like,2147483647,110.681,4.9098188471,10,595539,110.681,594970,1,1.0009563507,1.0009563507,10,4.9098188471
HouseConstruction-002,pnml,chain,sat-loop,20,0.013,0.0048304589,10,349,0.013,349,1,1,1,10,0.0048304589
HouseConstruction-005,pnml,chain-prev,sat-like,5,0.093,0.0133749351,10,3176,0.093,3176,1,1,1,10,0.0133749351
HouseConstruction-010,pnml,chain-prev,sat-like,5,0.992,0.0970452357,10,30151,0.992,30151,1,1,1,10,0.0970452357
HouseConstruction-020,pnml,chain-prev,sat-like,5,20.711,2.0203489798,10,428701,20.711,428701,1,1,1,10,2.0203489798
HouseConstruction-050,pnml,bfs-prev,sat-like,1,137.712,8.6477431866,10,2087626,137.712,2087626,1,1,1,10,8.6477431866
ht_d2k1p8b00,pnml,chain-prev,sat-loop,10,0.147,0.008232726,10,4375,0.147,3731,1,1.1726078799,1.1726078799,10,0.008232726
ht_d2k2p1b00,pnml,chain,sat-like,1,2.089,0.053634566,10,8407,2.089,8407,1,1,1,10,0.053634566
IBM319,pnml,chain-prev,sat-like,10,0.189,0.0185292561,10,1171,0.189,1171,1,1,1,10,0.0185292561
IBM5964,pnml,chain,sat-like,20,0.105,0.0052704628,10,1029,0.105,961,1,1.0707596254,1.0707596254,10,0.0052704628
IBM703,pnml,chain-prev,sat-like,10,0.268,0.018135294,10,1192,0.268,1192,1,1,1,10,0.018135294
IBMB2S565S3960,pnml,chain-prev,sat-like,5,50.964,2.8795879335,10,607749,50.964,604538,1,1.0053114941,1.0053114941,10,2.8795879335
IOTP_c1m1p1d1,pnml,chain,sat-like,5,0.052,0.0078881064,10,811,0.052,720,1,1.1263888889,1.1263888889,10,0.0078881064
IOTP_c3m3p3d3,pnml,chain,sat-like,5,1.401,0.1240474819,10,10534,1.401,9165,1,1.1493726132,1.1493726132,10,0.1240474819
IOTP_c5m4p3d2,pnml,bfs-prev,sat-like,5,3.913,0.1476519933,10,26959,3.913,23399,1,1.152143254,1.152143254,10,0.1476519933
iprotocol.1,dve2C,chain-prev,sat-like,1,0.041,0.0056764621,10,716,0.041,665,1,1.0766917293,1.0766917293,10,0.0056764621
iprotocol.2,dve2C,chain-prev,sat-like,1,0.096,0.0096609178,10,1635,0.096,1635,1,1,1,10,0.0096609178
iprotocol.3,dve2C,chain-prev,sat-like,1,1.074,0.1002441464,10,17132,1.074,17132,1,1,1,10,0.1002441464
iprotocol.4,dve2C,bfs-prev,sat-like,1,3.149,0.0730981076,10,60082,3.149,57769,1,1.0400387751,1.0400387751,10,0.0730981076
iprotocol.5,dve2C,chain-prev,sat-like,5,17.36,2.450936329,10,290711,17.36,285601,1,1.0178920942,1.0178920942,10,2.450936329
iprotocol.6,dve2C,chain-prev,sat-like,5,6.662,1.1103032619,10,100311,6.662,98220,1,1.0212889432,1.0212889432,10,1.1103032619
iprotocol.7,dve2C,chain-prev,sat-like,10,17.011,1.4268025636,10,309763,17.011,309763,1,1,1,10,1.4268025636
Kanban-10,pnml,chain,sat-loop,5,0.321,0.0099442893,10,3110,0.321,1452,1,2.1418732782,2.1418732782,10,0.0099442893
Kanban-20,pnml,chain,sat-like,5,6.82,0.513874174,10,7287,6.82,7287,1,1,1,10,0.513874174
Kanban-5,pnml,chain,sat-like,5,0.031,0.0073786479,10,382,0.031,382,1,1,1,10,0.0073786479
Kanban-50,pnml,chain,sat-like,10,1673.155,401.1191098041,1,,1673.155,,1,,,1,401.1191098041
krebs.1,dve2C,chain-prev,sat-like,5,0.051,0.0110050493,10,1637,0.051,1633,1,1.0024494795,1.0024494795,10,0.0110050493
krebs.2,dve2C,bfs-prev,sat-like,5,0.384,0.0295145915,10,6670,0.384,6670,1,1,1,10,0.0295145915
krebs.3,dve2C,chain-prev,sat-like,5,1.412,0.0960092588,10,25296,1.412,25296,1,1,1,10,0.0960092588
krebs.4,dve2C,bfs-prev,sat-like,1,1.833,0.0852512626,10,53350,1.833,43172,1,1.2357546558,1.2357546558,10,0.0852512626
lamport.1,dve2C,chain-prev,sat-like,1,0.086,0.0084327404,10,906,0.086,906,1,1,1,10,0.0084327404
lamport.2,dve2C,chain-prev,sat-like,1,0.384,0.0157762128,10,4126,0.384,4126,1,1,1,10,0.0157762128
lamport.3,dve2C,chain-prev,sat-like,1,0.135,0.0108012345,10,1335,0.135,1328,1,1.0052710843,1.0052710843,10,0.0108012345
lamport.5,dve2C,chain-prev,sat-like,1,0.656,0.0772010363,10,5553,0.656,5553,1,1,1,10,0.0772010363
lamport.6,dve2C,bfs-prev,sat-like,1,10.506,0.3169717828,10,102412,10.506,101861,1,1.0054093323,1.0054093323,10,0.3169717828
lamport.7,dve2C,chain-prev,sat-like,1,5.395,0.1422243923,10,51548,5.395,51548,1,1,1,10,0.1422243923
lamport.8,dve2C,chain-prev,sat-like,1,15.189,0.283095979,10,92751,15.189,92751,1,1,1,10,0.283095979
lamport_fmea-2,pnml,chain-prev,sat-loop,40,0.087,0.008232726,10,906,0.087,895,1,1.0122905028,1.0122905028,10,0.008232726
lamport_fmea-3,pnml,chain-prev,sat-loop,40,1.132,0.1221838324,10,7519,1.132,7434,1,1.0114339521,1.0114339521,10,0.1221838324
lamport_fmea-4,pnml,chain-prev,sat-like,20,21.386,2.2698810542,10,70389,21.386,70058,1,1.0047246567,1.0047246567,10,2.2698810542
lamport_fmea-5,pnml,bfs-prev,sat-like,1,1362.945,703.729148801,3,,1362.945,730501,1,,,3,703.729148801
lamport_nonatomic.1,dve2C,chain-prev,sat-like,1,0.075,0.0097182532,10,649,0.075,649,1,1,1,10,0.0097182532
lamport_nonatomic.2,dve2C,chain,sat-like,1,0.07,0.0066666667,10,608,0.07,608,1,1,1,10,0.0066666667
lamport_nonatomic.3,dve2C,chain-prev,sat-like,1,0.081,0.0056764621,10,677,0.081,677,1,1,1,10,0.0056764621
lamport_nonatomic.4,dve2C,chain-prev,sat-like,1,0.925,0.0540061725,10,6166,0.925,6166,1,1,1,10,0.0540061725
lamport_nonatomic.5,dve2C,chain-prev,sat-like,1,14.014,0.13048627,10,76065,14.014,75955,1,1.0014482259,1.0014482259,10,0.13048627
lann.1,dve2C,chain-prev,sat-like,1,0.156,0.0084327404,10,2851,0.156,2836,1,1.0052891396,1.0052891396,10,0.0084327404
lann.2,dve2C,chain-prev,sat-like,1,0.035,0.0052704628,10,824,0.035,824,1,1,1,10,0.0052704628
lann.3,dve2C,chain,sat-loop,10,0.695,0.0320589734,10,4416,0.695,4370,1,1.0105263158,1.0105263158,10,0.0320589734
lann.4,dve2C,chain-prev,sat-like,1,1.598,0.0709929574,10,36345,1.598,34098,1,1.0658982932,1.0658982932,10,0.0709929574
lann.5,dve2C,chain,sat-like,1,0.177,0.009486833,10,3711,0.177,3346,1,1.1090854752,1.1090854752,10,0.009486833
lann.6,dve2C,chain,sat-loop,10,32.457,0.7135210034,10,275932,32.457,268775,1,1.0266282206,1.0266282206,10,0.7135210034
lann.7,dve2C,chain-prev,sat-like,5,5.758,0.4495874652,10,20752,5.758,17507,1,1.1853544297,1.1853544297,10,0.4495874652
leader_election.1,dve2C,chain-prev,sat-like,1,0.104,0.0051639778,10,2373,0.104,2373,1,1,1,10,0.0051639778
leader_election.2,dve2C,chain-prev,sat-like,40,0.36,0.021602469,10,7830,0.36,7830,1,1,1,10,0.021602469
leader_election.3,dve2C,chain-prev,sat-like,1,0.277,0.0105934991,10,5104,0.277,5104,1,1,1,10,0.0105934991
leader_election.4,dve2C,chain-prev,sat-like,10,0.415,0.0462481231,10,7783,0.415,7783,1,1,1,10,0.0462481231
leader_election.5,dve2C,chain-prev,sat-like,5,0.709,0.0734014835,10,10463,0.709,10463,1,1,1,10,0.0734014835
leader_election.6,dve2C,chain-prev,sat-like,5,1.523,0.2220635545,10,20055,1.523,20055,1,1,1,10,0.2220635545
leader_filters.1,dve2C,chain-prev,sat-like,1,0.102,0.0091893658,10,2664,0.102,2585,1,1.0305609284,1.0305609284,10,0.0091893658
leader_filters.2,dve2C,chain-prev,sat-like,1,0.171,0.0110050493,10,3501,0.171,3450,1,1.0147826087,1.0147826087,10,0.0110050493
leader_filters.3,dve2C,chain-prev,sat-like,1,0.632,0.0154919334,10,16818,0.632,15756,1,1.0674028941,1.0674028941,10,0.0154919334
leader_filters.5,dve2C,bfs-prev,sat-like,1,5.839,0.2414516285,10,153161,5.839,139670,1,1.0965919668,1.0965919668,10,0.2414516285
leader_filters.6,dve2C,bfs-prev,sat-loop,40,64.106,1.7848510675,10,777241,64.106,762536,1,1.0192843354,1.0192843354,10,1.7848510675
leader_filters.7,dve2C,bfs-prev,sat-like,1,41.785,0.9713936152,10,1077613,41.785,970096,1,1.1108312992,1.1108312992,10,0.9713936152
lifts.1,dve2C,chain-prev,sat-loop,10,0.215,0.0070710678,10,3921,0.215,3739,1,1.0486761166,1.0486761166,10,0.0070710678
lifts.2,dve2C,chain-prev,sat-like,1,0.213,0.0133749351,10,3808,0.213,3726,1,1.0220075148,1.0220075148,10,0.0133749351
lifts.3,dve2C,chain-prev,sat-like,1,2.533,0.0442342251,10,25939,2.533,24919,1,1.0409326217,1.0409326217,10,0.0442342251
lifts.4,dve2C,chain-prev,sat-like,1,4.86,0.0907989231,10,37540,4.86,33987,1,1.1045399712,1.1045399712,10,0.0907989231
