filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
afcs_01_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
afcs_01_b,pnml,chain-prev,sat-like,1,chain,sat-like,10
afcs_02_a,pnml,chain-prev,sat-like,1,chain,sat-like,1
afcs_02_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,40
afcs_03_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_03_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,10
afcs_04_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_05_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_06_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_12_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
afcs_24_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
AirplaneLD-pt-0010,pnml,chain-prev,sat-like,1,chain,sat-loop,20
AirplaneLD-pt-0020,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0050,pnml,chain-prev,sat-like,1,chain,sat-loop,80
AirplaneLD-pt-0100,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0200,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,40
AirplaneLD-pt-0500,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
AirplaneLD-pt-1000,pnml,chain-prev,sat-like,1,bfs-prev,sat-loop,40
anderson.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
anderson.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
anderson.3,dve2C,chain-prev,sat-like,1,bfs-prev,none,
anderson.4,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,5
anderson.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,10
anderson.8,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,5
blocks.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,1
blocks.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
bopdp.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.4,dve2C,chain-prev,sat-like,1,chain-prev,none,
cambridge.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cambridge.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
cambridge.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,20
CircularTrain-012,pnml,chain-prev,sat-like,1,chain,sat-loop,2147483647
CircularTrain-024,pnml,chain-prev,sat-like,1,chain,sat-like,40
CircularTrain-048,pnml,chain-prev,sat-like,1,chain,sat-loop,80
CircularTrain-096,pnml,chain-prev,sat-like,1,chain,sat-like,40
CircularTrain-192,pnml,chain-prev,sat-like,1,chain,sat-like,10
cs_repetitions-2-unfolded,pnml,chain-prev,sat-like,1,chain,sat-like,1
cs_repetitions-3-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
cs_repetitions-4-unfolded,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,10
cyclic_scheduler.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,10
cyclic_scheduler.2,dve2C,chain-prev,sat-like,1,chain-prev,none,
cyclic_scheduler.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cyclic_scheduler.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,2147483647
des_00_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
des_01_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
des_02_a,pnml,chain-prev,sat-like,1,chain,sat-like,10
dlcsh_2_a,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,80
elevator.1,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,5
elevator.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
elevator2.1,dve2C,chain-prev,sat-like,1,chain,sat-loop,1
elevator2.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,2147483647
elevator2.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
elevator.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
elevator.4,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,5
