filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
AirplaneLD-pt-0010,pnml,chain-prev,sat-like,1,chain,sat-loop,20
AirplaneLD-pt-0020,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0050,pnml,chain-prev,sat-like,1,chain,sat-loop,80
AirplaneLD-pt-0100,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,20
AirplaneLD-pt-0200,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,40
AirplaneLD-pt-0500,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
AirplaneLD-pt-1000,pnml,chain-prev,sat-like,1,bfs-prev,sat-loop,40
blocks.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-loop,1
blocks.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
cambridge.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.4,dve2C,chain-prev,sat-like,1,chain-prev,none,
cambridge.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cambridge.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
cambridge.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,20
cs_repetitions-2-unfolded,pnml,chain-prev,sat-like,1,chain,sat-like,1
cs_repetitions-3-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
cs_repetitions-4-unfolded,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,10
dnawalk-01,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
dnawalk-02,pnml,chain-prev,sat-like,1,chain,sat-loop,10
dnawalk-03,pnml,chain-prev,sat-like,1,chain,sat-loop,10
dnawalk-04,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
dnawalk-05,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
dnawalk-06,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
dnawalk-07,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,10
dnawalk-08,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
dnawalk-09,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
dnawalk-10,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
dnawalk-11,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
dnawalk-12,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
dnawalk-13,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,20
dnawalk-14,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
dnawalk-15,pnml,chain-prev,sat-like,1,bfs,sat-like,20
fischer.1,dve2C,chain-prev,sat-like,1,chain,sat-loop,5
fischer.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
fischer.3,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
fischer.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
fischer.5,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
fischer.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
fischer.7,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
FMS-10,pnml,chain-prev,sat-like,1,chain,sat-loop,10
FMS-100,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
FMS-2,pnml,chain-prev,sat-like,1,chain,none,
FMS-20,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
FMS-200,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
FMS-5,pnml,chain-prev,sat-like,1,chain,sat-loop,10
