"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"2-10_phaseVariation","pnml",375,71234,76580,29.8244,30.8728,14,65,678,0.745,1050,1.15,"bfs-prev","sat-loop",1
"2D8_gradient_10x10_10","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain","sat-like",1
"2D8_gradient_10x10_50","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain-prev","sat-like",1
"2D8_gradient_20x20_10","pnml",1261,3808882,4068552,87.782393,92.746572,400,2964,51732,0.0436336,54005.81,0.04555146,"chain","sat-like",5
"2D8_gradient_30x30_10","pnml",1820,13356953,14274069,136.233016,143.0314,900,6844,176486,0.02865219,187325.8,0.03041201,"chain-prev","sat-like",5
"2D8_gradient_40x40_10","pnml",2680,32948755,35614414,197.0817432,209.8546478,1600,12324,432014,0.021909181,469048.75,0.023787364,"chain-prev","sat-like",20
"2D8_gradient_5x5_10","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"chain","sat-like",1
"2D8_gradient_5x5_100","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_150","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_200","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_50","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"5-10_phaseVariation","pnml",4074,6756238,7028284,125.55066,134.52321,77,677,32181,0.61733,45277,0.86856,"bfs-prev","none",
"adding.1","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"chain-prev","sat-like",1
"adding.2","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"chain-prev","sat-loop",2147483647
"adding.3","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"chain-prev","sat-loop",2147483647
"adding.4","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"chain-prev","sat-loop",2147483647
"adding.5","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"chain-prev","sat-loop",2147483647
"adding.6","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",1
"angiogenesis-01","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain-prev","sat-like",5
"angiogenesis-05","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",10
"angiogenesis-10","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"bfs","sat-like",5
"angiogenesis-15","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",5
"at.1","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-loop",5
"at.2","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-loop",5
"at.3","dve2C",152,8773,9771,13.183,14.161,12,57,187,0.273,228,0.333,"chain-prev","sat-like",1
"at.4","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"bfs-prev","sat-like",1
"at.5","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.6","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.7","dve2C",250,16077,17771,16.697,17.841,16,85,329,0.2419,413.1,0.3038,"chain-prev","sat-like",5
"bridge.1","dve2C",198,19141,20944,17.168,17.896,10,41,295,0.72,442,1.08,"chain-prev","sat-like",2147483647
"bridge.2","dve2C",298,41955,44874,19.974,20.861,12,61,513,0.701,751,1.03,"chain-prev","sat-loop",2147483647
"bridge.3","dve2C",398,76741,80805,26.8088,28.3088,14,81,771,0.6799,1105,0.9746,"bfs-prev","sat-loop",2147483647
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml",307,35424,39027,31.2241,33.5608,28,52,712,0.489,995.1,0.6835,"chain-prev","sat-like",1
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml",1882,1351587,1392332,55.17668,56.85824,48,288,6601,0.4775,9084.9,0.65718,"chain-prev","sat-like",1
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"chain-prev","sat-like",5
"BridgeAndVehicles-V20-P20-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"bfs-prev","sat-like",1
"brp2.1","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"bfs-prev","sat-loop",5
"brp2.2","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-like",1
"brp2.3","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"bfs-prev","sat-loop",10
"brp2.4","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"bfs-prev","sat-loop",10
"brp2.5","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"bfs-prev","sat-loop",10
"brp2.6","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"bfs-prev","sat-loop",10
"circadian_clock-000001","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"bfs-prev","sat-like",5
"circadian_clock-000010","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"chain","sat-loop",10
