"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"2-10_phaseVariation","pnml",375,71234,76580,29.8244,30.8728,14,65,678,0.745,1050,1.15,"bfs-prev","sat-loop",1
"2D8_gradient_10x10_10","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain","sat-like",1
"2D8_gradient_10x10_50","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain-prev","sat-like",1
"2D8_gradient_20x20_10","pnml",1261,3808882,4068552,87.782393,92.746572,400,2964,51732,0.0436336,54005.81,0.04555146,"chain","sat-like",5
"2D8_gradient_30x30_10","pnml",1820,13356953,14274069,136.233016,143.0314,900,6844,176486,0.02865219,187325.8,0.03041201,"chain-prev","sat-like",5
"2D8_gradient_40x40_10","pnml",2680,32948755,35614414,197.0817432,209.8546478,1600,12324,432014,0.021909181,469048.75,0.023787364,"chain-prev","sat-like",20
"2D8_gradient_5x5_10","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"chain","sat-like",1
"2D8_gradient_5x5_100","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_150","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_200","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_50","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"5-10_phaseVariation","pnml",4074,6756238,7028284,125.55066,134.52321,77,677,32181,0.61733,45277,0.86856,"bfs-prev","none",
"afcs_01_a","pnml",92,4235,5117,13.178,14.205,32,30,232,0.242,303,0.316,"chain-prev","sat-like",5
"afcs_01_b","pnml",187,12977,16275,14.5163,15.4801,114,112,889,0.069627,1057.9,0.082854,"chain","sat-like",10
"afcs_02_a","pnml",218,10371,12506,17.656,18.45,57,55,525,0.1675,654.2,0.2087,"chain","sat-like",1
"afcs_02_b","pnml",306,33023,41409,21.4403,22.7721,206,204,2393,0.056944,2516.2,0.059875,"chain-prev","sat-like",40
"afcs_03_a","pnml",353,24882,28254,23.3759,25.5045,82,80,1212,0.1848,1679,0.256,"chain","sat-like",5
"afcs_03_b","pnml",388,68096,81290,28.67729,30.19258,298,296,4639,0.052592,5620.9,0.063723,"chain-prev","sat-like",10
"afcs_04_a","pnml",379,39901,46029,29.6165,32.2014,107,105,1770,0.15754,2367.4,0.21072,"chain","sat-like",5
"afcs_05_a","pnml",530,61187,69261,33.446,36.9104,132,130,2874,0.16748,4001.6,0.2332,"chain","sat-like",5
"afcs_06_a","pnml",489,81105,93572,39.7724,43.5103,157,155,3506,0.14407,4662.1,0.19158,"chain","sat-like",5
"afcs_12_a","pnml",951,296078,336382,69.36162,76.59375,307,305,12182,0.1301,16268,0.17374,"chain-prev","sat-like",1
"afcs_24_a","pnml",1875,1133476,1271482,128.0112,142.3574,607,605,45194,0.123066,60641.6,0.16513,"chain-prev","sat-like",1
"AirplaneLD-pt-0010","pnml",356,34594,39554,16.9871,18.4777,89,88,2395,0.3058,3290,0.42,"chain","sat-loop",20
"AirplaneLD-pt-0020","pnml",771,139398,150528,20.0375,22.3687,159,168,9135,0.34198,12395,0.46401,"chain-prev","sat-loop",20
"AirplaneLD-pt-0050","pnml",2016,870148,906483,24.77234,29.58727,369,408,55695,0.369939,74378.3,0.494037,"chain","sat-loop",80
"AirplaneLD-pt-0100","pnml",4119,3595985,3743658,56.375625,77.466784,719,808,221275,0.380883,293463,0.505142,"chain-prev","sat-loop",20
"AirplaneLD-pt-0200","pnml",8269,14401183,14919283,98.082146,147.79136,1419,1608,882475,0.3867532,1166017,0.5110183,"chain-prev","sat-loop",40
"AirplaneLD-pt-0500","pnml",20719,90077778,93041158,222.86592,360.658969,3519,4008,5506075,0.39038682,7257968.9,0.51459803,"chain-prev","sat-loop",10
"AirplaneLD-pt-1000","pnml",41441,346679648,352162333,139.9115785,293.6644542,7019,8008,22012095,0.39161748,28992089,0.51579865,"bfs-prev","sat-loop",40
"angiogenesis-01","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain-prev","sat-like",5
"angiogenesis-05","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",10
"angiogenesis-10","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"bfs","sat-like",5
"angiogenesis-15","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",5
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml",307,35424,39027,31.2241,33.5608,28,52,712,0.489,995.1,0.6835,"chain-prev","sat-like",1
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml",1882,1351587,1392332,55.17668,56.85824,48,288,6601,0.4775,9084.9,0.65718,"chain-prev","sat-like",1
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"chain-prev","sat-like",5
"BridgeAndVehicles-V20-P20-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"bfs-prev","sat-like",1
"circadian_clock-000001","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"bfs-prev","sat-like",5
"circadian_clock-000010","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"chain","sat-loop",10
"circadian_clock-000100","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"chain","sat-loop",10
