"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"AirplaneLD-pt-0010","pnml",356,34594,39554,16.9871,18.4777,89,88,2395,0.3058,3290,0.42,"chain","sat-loop",20
"AirplaneLD-pt-0020","pnml",771,139398,150528,20.0375,22.3687,159,168,9135,0.34198,12395,0.46401,"chain-prev","sat-loop",20
"AirplaneLD-pt-0050","pnml",2016,870148,906483,24.77234,29.58727,369,408,55695,0.369939,74378.3,0.494037,"chain","sat-loop",80
"AirplaneLD-pt-0100","pnml",4119,3595985,3743658,56.375625,77.466784,719,808,221275,0.380883,293463,0.505142,"chain-prev","sat-loop",20
"AirplaneLD-pt-0200","pnml",8269,14401183,14919283,98.082146,147.79136,1419,1608,882475,0.3867532,1166017,0.5110183,"chain-prev","sat-loop",40
"AirplaneLD-pt-0500","pnml",20719,90077778,93041158,222.86592,360.658969,3519,4008,5506075,0.39038682,7257968.9,0.51459803,"chain-prev","sat-loop",10
"AirplaneLD-pt-1000","pnml",41441,346679648,352162333,139.9115785,293.6644542,7019,8008,22012095,0.39161748,28992089,0.51579865,"bfs-prev","sat-loop",40
"blocks.2","dve2C",197,21922,24761,27.635,28.871,14,20,232,0.829,411,1.47,"bfs-prev","sat-loop",1
"blocks.3","dve2C",313,52821,58541,35.4465,36.7891,18,26,395,0.844,711,1.52,"chain-prev","sat-like",1
"cambridge.1","dve2C",288,50373,56305,25.5187,27.0045,18,56,517,0.5129,729.7,0.7239,"chain-prev","sat-loop",10
"cambridge.2","dve2C",294,53191,59242,25.2487,26.7325,18,58,527,0.5048,738.6,0.7074,"chain-prev","sat-loop",10
"cambridge.3","dve2C",325,64188,71491,28.4665,30.0422,20,56,589,0.5259,855.4,0.7638,"chain-prev","sat-loop",10
"cambridge.4","dve2C",357,79121,87848,31.6009,33.3176,22,56,625,0.5073,922.5,0.7488,"chain-prev","none",
"cambridge.5","dve2C",560,193412,212137,45.2641,47.7662,32,58,1024,0.5517,1625,0.8756,"chain-prev","sat-loop",20
"cambridge.6","dve2C",732,327363,357291,59.4723,62.9381,42,56,1348,0.5731,2234,0.9498,"bfs-prev","sat-like",1
"cambridge.7","dve2C",940,545382,591974,72.31592,77.03024,52,58,1734,0.5749,2920,0.9682,"chain-prev","sat-like",20
"cs_repetitions-2-unfolded","pnml",96,3949,4922,14.647,15.415,23,28,233,0.362,317,0.493,"chain","sat-like",1
"cs_repetitions-3-unfolded","pnml",365,38112,43871,29.4205,31.7167,58,81,1805,0.3842,2526,0.5376,"chain-prev","sat-like",1
"cs_repetitions-4-unfolded","pnml",869,192776,216445,60.3352,64.607,117,176,8468,0.41123,11640,0.56525,"bfs-prev","sat-like",10
"dnawalk-01","pnml",225,22305,24337,17.648,18.778,13,82,354,0.3321,435.4,0.4084,"chain-prev","sat-like",1
"dnawalk-02","pnml",231,26766,28367,20.416,22.124,14,84,392,0.3333,469.3,0.3991,"chain","sat-loop",10
"dnawalk-03","pnml",242,21599,23795,18.382,19.584,14,84,387,0.3291,492.4,0.4187,"chain","sat-loop",10
"dnawalk-04","pnml",494,113242,122025,27.6357,28.9045,34,250,1565,0.1841,1889,0.2222,"bfs-prev","sat-like",1
"dnawalk-05","pnml",419,122292,130977,30.1912,31.9227,34,250,1553,0.1827,1879,0.2211,"chain-prev","sat-like",1
"dnawalk-06","pnml",510,114477,122467,23.7274,24.6043,34,250,1592,0.1873,1945,0.2288,"bfs-prev","sat-like",1
"dnawalk-07","pnml",569,136899,143781,30.3398,33.1948,34,250,1759,0.2069,2246,0.2642,"bfs-prev","sat-like",10
"dnawalk-08","pnml",758,205818,220869,39.2941,41.7897,27,260,1874,0.267,2216,0.3156,"bfs-prev","sat-like",1
"dnawalk-09","pnml",744,196148,209465,37.4093,39.3978,27,260,1832,0.261,2158,0.3074,"chain-prev","sat-like",1
"dnawalk-10","pnml",774,209161,224927,40.2578,42.4921,27,260,2079,0.2962,2664,0.3795,"bfs-prev","sat-like",1
"dnawalk-11","pnml",773,204762,222048,42.0013,43.6979,27,260,1942,0.2766,2343,0.3338,"chain-prev","sat-like",1
"dnawalk-12","pnml",926,230522,247822,37.5983,39.3443,33,312,2332,0.2265,2688.9,0.26116,"bfs-prev","sat-like",1
"dnawalk-13","pnml",869,254075,271196,39.768,41.7927,33,312,2334,0.22669,2872.2,0.27897,"bfs-prev","sat-like",20
"dnawalk-14","pnml",942,233329,249142,35.9043,37.3418,33,312,2428,0.23582,2883,0.28001,"chain-prev","sat-like",1
"dnawalk-15","pnml",942,261327,279160,41.5297,43.2546,33,312,2657,0.25806,3353.6,0.32572,"bfs","sat-like",20
"fischer.1","dve2C",40,906,1040,6.984,7.354,8,19,48,0.316,56.5,0.372,"chain","sat-loop",5
"fischer.2","dve2C",60,1534,1751,9.179,9.924,10,25,70,0.28,84.4,0.338,"chain-prev","sat-like",1
"fischer.3","dve2C",100,2973,3390,9.7177,10.237,14,37,126,0.243,156,0.302,"bfs-prev","sat-like",1
"fischer.4","dve2C",120,3873,4379,9.9514,10.419,16,43,160,0.233,200,0.291,"chain-prev","sat-like",1
"fischer.5","dve2C",120,3873,4379,9.9514,10.419,16,43,160,0.233,200,0.291,"bfs-prev","sat-like",1
"fischer.6","dve2C",140,4910,5488,10.128,10.555,18,49,198,0.224,250,0.283,"chain-prev","sat-like",1
"fischer.7","dve2C",140,4910,5488,10.128,10.555,18,49,198,0.224,250,0.283,"bfs-prev","sat-like",1
"FMS-10","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain","sat-loop",10
"FMS-100","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-loop",10
"FMS-2","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain","none",
"FMS-20","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-loop",10
"FMS-200","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-like",1
"FMS-5","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain","sat-loop",10
"FMS-50","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-loop",10
