"filename","filetype","event-span","event-span-norm","weigthed-event-span","weighted-event-span-norm",
"Philosophers-100","pnml","3778","0.015112","3824.34","0.0152973",
"database20UNFOLD","pnml","2892244","0.27724732","4006838.7","0.38409114",
"CircularTrain-096","pnml","855","0.046387","887.85","0.048169",
"QCertifProtocol_22-unfold","pnml","148266","0.21184","180567","0.257991",
"soli2_counter","pnml","","","","",
"PolyORB-LF-S06-J06-T08-unfolded","pnml","","","","",
"rwmutex-r10w1000","pnml","2058176","0.5019207","2745520","0.6695409",
"SwimmingPool-3","pnml","31","0.49","41","0.65",
"PolyORB-NT-S05-J80-unfolded","pnml","","","","",
"RAS-C-100","pnml","3180","0.01325","3205.83","0.0133576",
"RAS-R-10","pnml","127","0.144","142","0.161",
"CircularTrain-048","pnml","423","0.0918","454.5","0.09863",
"dekker-10","pnml","3083","0.5138","4626","0.7709",
"shared_memory-pt-50","pnml","","","","",
"unf-8x8-4stageSEN-20","pnml","35380","0.35574","44988","0.45234",
"2D8_gradient_40x40_10","pnml","","","","",
"raft_02","pnml","452","0.3104","603.1","0.4142",
"2D8_gradient_30x30_100","pnml","","","","",
"erk-000001","pnml","39","0.322","45.8","0.379",
"parking_8_32","pnml","","","","",
"2D8_gradient_50x50_100","pnml","","","","",
"eratosthenes-050","pnml","","","","",
"echo-d2r9","pnml","","","","",
"2D8_gradient_5x5_50","pnml","714","0.1983","851.7","0.2366",
"erk-000010","pnml","39","0.322","45.8","0.379",
"IOTP_c3m3p3d3","pnml","602","0.1205","790.6","0.1583",
"IBMB2S565S3960","pnml","1482","0.030327","1492","0.030532",
"CircularTrain-192","pnml","","","","",
"MAPK-80","pnml","126","0.191","146","0.222",
"Kanban-1000","pnml","","","","",
"QCertifProtocol_02-unfold","pnml","900","0.1869","1052","0.2185",
"raft_07","pnml","","","","",
"MAPK-20","pnml","126","0.191","146","0.222",
"hc4k3p3b12","pnml","946641","0.071348754","999213.23","0.075311147",
"lamport_fmea-3","pnml","4029","0.25827","3972.4","0.25464",
"SwimmingPool-2","pnml","31","0.49","41","0.65",
"unf-8x8-4stageSEN-01","pnml","35380","0.35574","44988","0.45234",
"neoelection-4.unf","pnml","","","","",
"erk-100000","pnml","","","","",
"ProductionCell","pnml","2902","0.12305","3856.4","0.16352",
"rwmutex-r100w10","pnml","","","","",
"Philosophers-5","pnml","167","0.267","201","0.321",
"2D8_gradient_50x50_10","pnml","","","","",
"neoelection-7.unf","pnml","","","","",
"HouseConstruction-200","pnml","","","","",
"Peterson-2","pnml","2062","0.16044","2555.2","0.19882",
"circadian_clock-000010","pnml","66","0.295","80.3","0.358",
"PolyORB-LF-S02-J06-T08-unfolded","pnml","","","","",
"2D8_gradient_20x20_150","pnml","","","","",
"closed_system4","pnml","3795","0.08133","5158.5","0.11055",
"simple_lbs-10","pnml","","","","",
"rwmutex-r2000w10","pnml","","","","",
"IBM5964","pnml","1405","0.038433","1586.9","0.043409",
"railroad-100-pt","pnml","","","","",
"dekker-100","pnml","","","","",
"RAS-C-20","pnml","620","0.06458","645.2","0.0672",
"galloc_res-3","pnml","89508","0.566137","128244","0.811143",
"lamport_fmea-4","pnml","7573","0.2439","7118.3","0.22925",
"RAS-R-100","pnml","1297","0.016052","1312.9","0.016248",
"shared_memory-pt-200","pnml","","","","",
"10-100_phaseVariation","pnml","528942","0.558324","718412","0.758319",
"philo_dyn-10-unfolded","pnml","","","","",
"dekker-50","pnml","","","","",
"erk-010000","pnml","","","","",
"2D8_gradient_20x20_10","pnml","51732","0.0436336","54005.81","0.04555146",
"2D8_gradient_10x10_50","pnml","","","","",
"SwimmingPool-8","pnml","","","","",
"PolyORB-NT-S05-J30-unfolded","pnml","","","","",
"MAPK-8","pnml","126","0.191","146","0.222",
"shared_memory-pt-5","pnml","1078","0.478","1551","0.6878",
"erk-000100","pnml","39","0.322","45.8","0.379",
"lamport_fmea-2","pnml","1832","0.2766","1933","0.2919",
"RAS-C-3","pnml","68","0.315","89.8","0.416",
"RAS-C-50","pnml","1580","0.026333","1605.7","0.026761",
"railroad-020-pt","pnml","","","","",
"rwmutex-r1000w10","pnml","","","","",
"FMS-500","pnml","","","","",
"BridgeAndVehicles-V50-P50-N10-unfolded","pnml","","","","",
"PolyORB-NT-S10-J20-unfolded","pnml","","","","",
"PolyORB-LF-S02-J04-T10-unfolded","pnml","","","","",
"IOTP_c1m1p1d1","pnml","602","0.1205","790.6","0.1583",
"PolyORB-LF-S04-J04-T10-unfolded","pnml","","","","",
"SafeBus-06-unfolded","pnml","","","","",
"CircularTrain-384","pnml","","","","",
"RAS-C-5","pnml","140","0.233","163","0.271",
"sg-8-4-8","pnml","33869","0.0357957","35116.1","0.0371137",
"20-10_phaseVariation","pnml","","","","",
"QCertifProtocol_10-unfold","pnml","","","","",
"SafeBus-20-unfolded","pnml","9062940","0.84440062","17187585","1.6013796",
"2D8_gradient_5x5_350","pnml","","","","",
"5-10_phaseVariation","pnml","","","","",
"Peterson-6","pnml","","","","",
"database10UNFOLD","pnml","","","","",
"PolyORB-LF-S02-J04-T08-unfolded","pnml","","","","",
"QCertifProtocol_18-unfold","pnml","88556","0.214003","106354","0.257013",
"2-10_phaseVariation","pnml","678","0.745","1.05e+03","1.15",
"neoelection-2.unf","pnml","","","","",
"simple_lbs-15","pnml","","","","",
"unf-8x8-4stageSEN-05","pnml","","","","",
"unf-8x8-4stageSEN-50","pnml","","","","",
"PolyORB-NT-S10-J30-unfolded","pnml","","","","",
"closed_system1","pnml","3795","0.08133","5158.5","0.11055",
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","6601","0.4775","9084.9","0.65718",
"galloc_res-5","pnml","","","","",
"neoelection-6.unf","pnml","","","","",
"echo-d3r7","pnml","","","","",
"2D8_gradient_20x20_100","pnml","","","","",
"PolyORB-NT-S10-J40-unfolded","pnml","","","","",
"cs_repetitions-4-unfolded","pnml","","","","",
"PolyORB-LF-S06-J06-T04-unfolded","pnml","","","","",
"angiogenesis-05","pnml","699","0.28","923","0.3698",
"echo-d2r15","pnml","184675","0.05186629","196313.3","0.05513491",
"PolyORB-LF-S04-J06-T06-unfolded","pnml","","","","",
"BridgeAndVehicles-V80-P50-N50-unfolded","pnml","","","","",
"railroad-010-pt","pnml","","","","",
"dekker-20","pnml","","","","",
"echo-d3r3","pnml","12987","0.2379","16041","0.29384",
"Philosophers-1000","pnml","39127","0.00156508","39318.813","0.0015727525",
"open_system_0","pnml","3094","0.088786","3419.4","0.098123",
"BridgeAndVehicles-V20-P10-N20-unfolded","pnml","","","","",
"railroad-050-pt","pnml","","","","",
"PolyORB-NT-S05-J40-unfolded","pnml","155385","0.1553679","173824","0.1738049",
"Philosophers-2000","pnml","","","","",
"simple_lbs-5","pnml","4938","0.46497","6194.8","0.58332",
"BridgeAndVehicles-V20-P20-N50-unfolded","pnml","","","","",
"planning","pnml","","","","",
"SwimmingPool-1","pnml","31","0.49","41","0.65",
"QCertifProtocol_06-unfold","pnml","6312","0.20153","7447.2","0.23778",
"neoelection-8.unf","pnml","","","","",
